%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference
0.020799999	-3.759E-07	6.43923E-07	-2.30767E-06	1.55587E-06	2.1179E-07	1.24105E-07	-1.60525E-07	5.84105E-07	0.005630381	0.000872407	0.003013161	0.008247601	0	0	0	0	-0.003483782	0.00264637	-0.011422893	0.004455329
0.021599999	-1.6934E-07	5.77423E-07	-1.90161E-06	1.56293E-06	2.42105E-07	1.33613E-07	-1.58733E-07	6.42944E-07	0.005538247	0.000896107	0.002849925	0.008226569	0	0	0	0	-0.003479969	0.002608424	-0.011305243	0.004345304
0.022399999	-1.04803E-08	5.64628E-07	-1.70436E-06	1.6834E-06	2.79266E-07	1.40078E-07	-1.40967E-07	6.99499E-07	0.005446121	0.000802449	0.003038773	0.007853469	0	0	0	0	-0.003460573	0.002648227	-0.011405255	0.00448411
0.023199999	5.93527E-08	5.49882E-07	-1.59029E-06	1.709E-06	3.12561E-07	1.65639E-07	-1.84355E-07	8.09476E-07	0.005446119	0.000755358	0.003180046	0.007712192	0	0	0	0	-0.003334647	0.002644576	-0.011268373	0.00459908
0.023999999	1.03125E-07	5.16965E-07	-1.44777E-06	1.65402E-06	3.45202E-07	2.03914E-07	-2.66541E-07	9.56944E-07	0.00535399	0.000806191	0.002935418	0.007772562	0	0	0	0	-0.003286985	0.00266182	-0.011272445	0.004698475
0.024799999	1.76485E-07	5.40051E-07	-1.44367E-06	1.79664E-06	3.72932E-07	2.21908E-07	-2.92792E-07	1.03866E-06	0.005114461	0.000765877	0.00281683	0.007412091	0	0	0	0	-0.003374888	0.002604449	-0.011188234	0.004438458
0.025599999	1.89094E-07	5.26617E-07	-1.39076E-06	1.76895E-06	3.97205E-07	2.16528E-07	-2.52379E-07	1.04679E-06	0.005114455	0.000634499	0.003210958	0.007017952	0	0	0	0	-0.003211751	0.002623836	-0.011083261	0.004659758
0.026399999	2.94629E-07	5.42632E-07	-1.33327E-06	1.92252E-06	4.25256E-07	2.19875E-07	-2.34369E-07	1.08488E-06	0.004948633	0.000633139	0.003049216	0.006848051	0	0	0	0	-0.003204607	0.002570881	-0.01091725	0.004508035
0.027199999	3.24278E-07	5.98462E-07	-1.47111E-06	2.11966E-06	4.58297E-07	2.36169E-07	-2.50211E-07	1.16681E-06	0.004745955	0.000609703	0.002916845	0.006575066	0	0	0	0	-0.003220138	0.002591119	-0.010993496	0.00455322
0.027999999	3.45722E-07	6.15578E-07	-1.50101E-06	2.19246E-06	4.83408E-07	2.39191E-07	-2.34166E-07	1.20098E-06	0.004506426	0.00064429	0.002573556	0.006439296	0	0	0	0	-0.003260498	0.002587419	-0.011022755	0.00450176
