Frequenz	mg
3991.699219	7.305683758
4003.90625	6.474925657
4016.113281	7.414677299
4028.320313	6.895763907
4040.527344	7.227547189
4052.734375	8.319003874
4064.941406	7.846213791
4077.148438	8.554289192
4089.355469	8.552861281
4101.5625	10.27585772
4113.769531	8.836371141
4125.976563	6.712511147
4138.183594	6.463792993
4150.390625	6.104026777
4162.597656	5.700935747
4174.804688	6.364313136
4187.011719	7.839817146
4199.21875	10.59395631
4211.425781	8.816843903
4223.632813	8.761775999
4235.839844	11.1773243
4248.046875	7.353859134
4260.253906	8.060447312
4272.460938	15.16536551
4284.667969	14.2737312
4296.875	9.314945822
4309.082031	11.66867541
4321.289063	10.01108434
4333.496094	7.225887734
4345.703125	6.779264725
4357.910156	5.649544678
4370.117188	6.21970393
4382.324219	6.109163683
4394.53125	5.192498677
4406.738281	5.568265606
4418.945313	5.32528457
4431.152344	4.521264513
4443.359375	4.939253944
4455.566406	6.090405601
4467.773438	6.356178285
4479.980469	6.475566091
4492.1875	6.198313577
4504.394531	6.382945562
4516.601563	6.059726277
4528.808594	6.864028636
4541.015625	7.5319756
4553.222656	7.519313762
4565.429688	8.208831046
4577.636719	8.298385601
4589.84375	8.797469359
4602.050781	9.886935786
4614.257813	10.55370322
4626.464844	10.15046838
4638.671875	10.49968636
4650.878906	9.534805441
4663.085938	8.526115059
4675.292969	9.825674467
4687.5	11.14480384
4699.707031	9.926297586
4711.914063	9.607619794
4724.121094	9.81191482
4736.328125	11.3033318
4748.535156	10.8745523
4760.742188	10.85476478
4772.949219	12.58626666
4785.15625	12.10672429
4797.363281	11.99121627
4809.570313	10.57686385
4821.777344	12.15364113
4833.984375	12.45680454
4846.191406	14.50103516
4858.398438	12.04802024
4870.605469	12.27282485
4882.8125	12.24771923
4895.019531	13.48078922
4907.226563	12.95071333
4919.433594	12.5547764
4931.640625	12.02197518
4943.847656	11.09324851
4956.054688	13.7293497
4968.261719	14.70584866
4980.46875	14.85552741
4992.675781	13.44317638
5004.882813	13.3602966
5017.089844	12.85936975
5029.296875	13.84432145
5041.503906	13.8806048
5053.710938	14.5268124
5065.917969	19.12299049
5078.125	18.25457245
5090.332031	18.26735593
5102.539063	15.22969356
5114.746094	15.63967301
5126.953125	14.4295034
5139.160156	16.78847748
5151.367188	18.54033332
5163.574219	21.45157308
5175.78125	24.39583906
5187.988281	20.91477878
5200.195313	17.28575149
5212.402344	19.04057226
5224.609375	22.8002704
5236.816406	20.76992743
5249.023438	15.68732713
5261.230469	19.95932767
5273.4375	21.22646746
5285.644531	20.53607571
5297.851563	19.99884338
5310.058594	21.01040555
5322.265625	21.34125996
5334.472656	20.0107202
5346.679688	23.72242884
5358.886719	25.15360743
5371.09375	24.37957728
5383.300781	23.69675084
5395.507813	25.25941739
5407.714844	25.66688192
5419.921875	21.86736569
5432.128906	25.95993423
5444.335938	32.00635752
5456.542969	27.06766766
5468.75	28.00296414
5480.957031	33.80182904
5493.164063	27.69150959
5505.371094	25.67577619
5517.578125	24.32755264
5529.785156	27.49238252
5541.992188	24.23936618
5554.199219	30.06162419
5566.40625	28.48935866
5578.613281	31.25257469
5590.820313	30.06414473
5603.027344	30.04156931
5615.234375	29.42659836
5627.441406	25.75180463
5639.648438	27.60589894
5651.855469	29.35455009
5664.0625	32.54043952
5676.269531	29.5711404
5688.476563	27.15200784
5700.683594	28.90108597
5712.890625	30.21639927
5725.097656	28.14614776
5737.304688	28.03333614
5749.511719	28.95114668
5761.71875	33.42154017
5773.925781	35.94284692
5786.132813	34.79290859
5798.339844	30.65103779
5810.546875	29.45607656
5822.753906	28.24989027
5834.960938	29.29393418
5847.167969	28.82976284
5859.375	28.10798288
5871.582031	25.95019746
5883.789063	27.06304093
5895.996094	24.84008662
5908.203125	21.70203994
5920.410156	25.71552129
5932.617188	27.40258375
5944.824219	27.96455069
5957.03125	23.46458679
5969.238281	24.18905799
5981.445313	24.91049226
5993.652344	24.78666474
6005.859375	23.4652266
6018.066406	20.63446959
6030.273438	20.85734748
6042.480469	23.06319062
6054.6875	21.95679361
6066.894531	25.28796861
6079.101563	22.12761391
6091.308594	18.23892265
6103.515625	19.88536219
6115.722656	22.75804108
6127.929688	19.09478341
6140.136719	16.79216246
6152.34375	20.2407352
6164.550781	21.00708692
6176.757813	17.94846252
6188.964844	17.09179751
6201.171875	16.07534593
6213.378906	16.69147884
6225.585938	15.48520665
6237.792969	12.24421181
6250	14.67909
6262.207031	16.50548327
6274.414063	14.87986163
6286.621094	11.96616149
6298.828125	12.99836199
6311.035156	12.34904526
6323.242188	13.05376904
6335.449219	16.28549632
6347.65625	13.97795173
6359.863281	13.2373686
6372.070313	14.80275268
6384.277344	12.920469
6396.484375	12.06171697
6408.691406	11.49057792
6420.898438	12.27636987
6433.105469	12.87737608
6445.3125	12.68609246
6457.519531	13.00378424
6469.726563	13.41460869
6481.933594	11.58550851
6494.140625	13.22820803
6506.347656	15.07528732
6518.554688	11.84742601
6530.761719	12.4051303
6542.96875	13.08357208
6555.175781	11.41684917
6567.382813	12.33221453
6579.589844	12.44240693
6591.796875	9.979943614
6604.003906	12.10163132
6616.210938	11.05176958
6628.417969	10.2644906
6640.625	11.35693523
6652.832031	13.14237056
6665.039063	11.14794892
6677.246094	10.73075585
6689.453125	9.304490944
6701.660156	9.81652891
6713.867188	10.01748739
6726.074219	9.320410293
6738.28125	9.202030177
6750.488281	8.492582125
6762.695313	10.1011551
6774.902344	10.35873607
6787.109375	9.645335314
6799.316406	8.738854889
6811.523438	8.831253783
6823.730469	8.560288735
6835.9375	8.157614887
6848.144531	8.099541692
6860.351563	7.660653785
6872.558594	7.231332161
6884.765625	7.734925861
6896.972656	7.28583193
6909.179688	7.074332203
6921.386719	7.169351548
6933.59375	8.931676513
6945.800781	8.139619063
6958.007813	7.923311168
6970.214844	7.827465215
6982.421875	6.592355617
6994.628906	7.073160263
7006.835938	6.704916548
7019.042969	5.59505404
7031.25	5.952122226
7043.457031	7.671548115
7055.664063	6.695078714
7067.871094	6.353195073
7080.078125	6.881842116
7092.285156	6.96823084
7104.492188	6.568715067
7116.699219	6.166466365
7128.90625	5.838553843
7141.113281	5.587430109
7153.320313	6.124572667
7165.527344	6.584705342
7177.734375	7.250067382
7189.941406	6.051387654
7202.148438	6.18820706
7214.355469	6.417393499
7226.5625	6.590396939
7238.769531	5.181271241
7250.976563	4.919510612
7263.183594	5.879889787
7275.390625	5.66234291
7287.597656	6.212362032
7299.804688	6.135242938
7312.011719	6.395654098
7324.21875	6.063141183
7336.425781	5.950971834
7348.632813	6.129069793
7360.839844	5.487334983
7373.046875	5.658532691
7385.253906	5.550476581
7397.460938	6.132748156
7409.667969	5.457519587
7421.875	5.690715389
7434.082031	5.177583953
7446.289063	5.191776055
7458.496094	5.366503483
7470.703125	5.62397134
7482.910156	5.768708473
7495.117188	6.011768813
7507.324219	6.202234814
7519.53125	5.622713121
7531.738281	5.774571761
7543.945313	5.795332877
7556.152344	6.792448295
7568.359375	6.178379664
7580.566406	5.314764882
7592.773438	6.382263289
7604.980469	7.658267519
7617.1875	7.951657973
7629.394531	7.862384318
7641.601563	7.951856372
7653.808594	7.456107503
7666.015625	7.152077622
7678.222656	7.194153107
7690.429688	8.373691992
7702.636719	8.849168664
7714.84375	7.831538435
7727.050781	9.006161832
7739.257813	8.798593006
7751.464844	7.957495398
7763.671875	8.753774476
7775.878906	8.376302828
7788.085938	8.870162655
7800.292969	8.512018867
7812.5	7.619383006
7824.707031	7.524422442
7836.914063	8.227164092
7849.121094	8.781729136
7861.328125	9.115846811
7873.535156	8.41877858
7885.742188	7.460819563
7897.949219	6.732856127
7910.15625	9.68698799
7922.363281	11.72895868
7934.570313	11.47253002
7946.777344	11.03853589
7958.984375	9.661033657
7971.191406	10.04983456
7983.398438	9.997679574
7995.605469	10.42977381
8007.8125	9.533323725
8020.019531	10.74076882
8032.226563	11.37974671
8044.433594	11.64115913
8056.640625	10.90244822
8068.847656	11.97887181
8081.054688	11.9128134
8093.261719	11.06994182
8105.46875	10.1872964
8117.675781	9.323794374
8129.882813	9.782610227
8142.089844	9.425755407
8154.296875	12.50492184
8166.503906	11.93956902
8178.710938	10.61583448
8190.917969	11.22257978
8203.125	10.41861142
8215.332031	11.40796124
8227.539063	11.19468371
8239.746094	11.60170557
8251.953125	12.01365831
8264.160156	12.53290326
8276.367188	11.59824319
8288.574219	10.085292
8300.78125	11.32801696
8312.988281	10.47872858
8325.195313	9.525683047
8337.402344	10.69865808
8349.609375	12.17416449
8361.816406	12.68413747
8374.023438	15.07132464
8386.230469	14.192293
8398.4375	12.51915038
8410.644531	10.30733716
8422.851563	12.4755482
8435.058594	11.58665174
8447.265625	10.9092442
8459.472656	10.32713432
8471.679688	10.91135521
8483.886719	11.80475163
8496.09375	11.23121235
8508.300781	12.47977098
8520.507813	10.35513406
8532.714844	10.38391588
8544.921875	13.33317588
8557.128906	11.40130647
8569.335938	10.1653583
8581.542969	10.07482109
8593.75	10.16508403
8605.957031	12.29675817
8618.164063	12.26792987
8630.371094	13.70863431
8642.578125	13.31818781
8654.785156	11.82567952
8666.992188	10.63220838
8679.199219	11.54646696
8691.40625	12.02218895
8703.613281	13.25485132
