%	Polynom 5te Ordnung		kombinierte Traces									
Zeit	Geschwindigkeit	StandardabweichungGeschwindigkeit	Drehmoment	StandardabweichungDrehmoment	Position	StandardabweichungPosition	Schleppfehler	StandardabweichungSchleppfehler	Positionsdifferenz	StandardabweichungPositionsdifferenz	Stromstaerke	StandardabweichungStromstaerke
0.031999999	89.38606786	0.480583365	7.225312373	1.140161049	12.99242506	0.550559584	0.000950004	0.002322008	0.066823314	0.006634114	10.75765016	1.80269238
0.032399999	89.71648676	0.392546359	6.448127424	1.109090876	13.35026386	0.552357291	0.000350127	0.002173591	0.066970999	0.006139589	9.494043434	1.788648229
0.032799999	89.97894586	0.320587183	5.686657667	1.146501043	13.70935739	0.553813286	-0.000313522	0.002438077	0.06695975	0.0065304	8.344220545	1.823786619
0.033199999	90.20073416	0.234136151	4.914300428	1.11591314	14.06948351	0.554929268	-0.00053975	0.001997707	0.067240587	0.00647977	7.153140816	1.706889688
0.033599999	90.35510792	0.167610747	4.174250339	1.141757449	14.43041147	0.555703174	-0.00128373	0.00218747	0.066905843	0.006570211	5.964981432	1.831826109
0.033999999	90.46037113	0.108946289	3.418834408	1.147867484	14.79191687	0.556132044	-0.001299373	0.002403372	0.067187767	0.006666745	4.76102304	1.86338136
0.034399999	90.50611354	0.093834576	2.597839001	1.177484272	15.15376745	0.556218719	-0.001715363	0.002031645	0.066970403	0.006512619	3.436355044	1.877646742
0.034799999	90.50005341	0.148039613	1.839229071	1.173740333	15.51573435	0.555962234	-0.002243939	0.002292822	0.066552235	0.006842282	2.2947247	1.846016852
0.035199999	90.43361155	0.218383951	1.101561464	1.219221404	15.87758943	0.555363992	-0.002099452	0.002035377	0.066704963	0.006680552	1.118131809	1.958217902
0.035599999	90.3167204	0.292885819	0.248983034	1.196259587	16.23910455	0.554421062	-0.002353595	0.002357935	0.06639956	0.006877276	-0.280736436	1.864137482
0.035999999	90.1408292	0.371729375	-0.520013427	1.231831269	16.60004896	0.553136503	-0.002718252	0.002229349	0.065884475	0.006739681	-1.396804201	2.016161362
0.036399999	89.90832804	0.454185148	-1.32184266	1.249032457	16.96019304	0.551511201	-0.002559977	0.002158739	0.065840397	0.007235556	-2.701191583	1.964204275
0.036799999	89.62352274	0.538755666	-2.099778105	1.292385931	17.31931387	0.549547921	-0.002814857	0.002294367	0.065306605	0.006872214	-3.91943207	2.057421748
0.037199999	89.28397534	0.611114867	-2.977980546	1.25979657	17.67718259	0.547245867	-0.003192333	0.002316697	0.064613092	0.007186746	-5.389619785	1.956852046
0.037599999	88.88939846	0.705468181	-3.760130258	1.282003081	18.03357255	0.544611462	-0.002883801	0.002290957	0.064542431	0.007405845	-6.474279016	2.082711581
0.037999999	88.44093427	0.777328644	-4.581596851	1.318063164	18.38826049	0.541642958	-0.003166336	0.00208244	0.063864323	0.00702557	-7.818394539	2.087037427
0.038399999	87.93964192	0.871394333	-5.443093253	1.336480205	18.74102424	0.538346737	-0.003170865	0.002528347	0.063406391	0.007589837	-9.261856322	2.170075569
0.038799999	87.37287439	0.946213006	-6.277544265	1.295036782	19.09164541	0.534721484	-0.003060344	0.002109629	0.0630403	0.007251394	-10.50974689	1.98483132
0.039199999	86.76337792	1.03564496	-7.141180515	1.320104285	19.43990184	0.53077772	-0.003531856	0.002120528	0.062033342	0.007409929	-11.88433099	2.132965425
0.039599999	86.08712574	1.108668759	-7.935837998	1.288661198	19.78557961	0.526511373	-0.003346223	0.002297422	0.061633022	0.007637892	-13.1312205	2.019433324
0.039999999	85.36780787	1.189471106	-8.74185981	1.299683344	20.12846666	0.521930925	-0.003329746	0.00219683	0.061021035	0.007513161	-14.34112943	2.04970947
0.040399999	84.59183083	1.261694654	-9.62044384	1.2915569	20.46834646	0.517041766	-0.003520995	0.002104682	0.060151363	0.00756229	-15.82507986	2.096566443
0.040799999	83.76475435	1.340770885	-10.41561175	1.300948014	20.80501743	0.51184708	-0.003342756	0.002227778	0.059610608	0.007734283	-16.98037086	2.023751836
0.041199999	82.88593367	1.407203435	-11.2407508	1.284078264	21.13827387	0.506349911	-0.003421077	0.001985551	0.058759804	0.0075296	-18.28708305	2.045472392
0.041599999	81.96453708	1.470611753	-12.01563968	1.175716523	21.46791234	0.500560383	-0.003670104	0.001882271	0.057710558	0.007664687	-19.50640705	1.803004156
0.041999999	80.99734841	1.539259323	-12.78083564	1.268835012	21.79373386	0.494481878	-0.003636531	0.002191817	0.056927043	0.007920169	-20.66225276	2.155814707
0.042399999	79.98611495	1.595653816	-13.60834008	1.248934749	22.11554733	0.488119379	-0.003514363	0.001991562	0.056252465	0.007502295	-22.04243537	2.013460034
0.042799999	78.92883405	1.670029706	-14.34549909	1.290948917	22.43316239	0.481481374	-0.00389562	0.002103671	0.055075939	0.007783608	-23.1095666	2.044701499
0.043199999	77.82665612	1.714581066	-15.14862092	1.199541003	22.7463913	0.474573873	-0.004123414	0.002445493	0.054095396	0.008222801	-24.43489172	1.908292617
0.043599999	76.68460277	1.787145167	-15.90233474	1.190853072	23.05505528	0.467402962	-0.004110999	0.002414386	0.053362493	0.007901523	-25.58287336	1.940534404
0.043999999	75.50071178	1.829217133	-16.54360485	1.16912726	23.3589767	0.459976916	-0.004743213	0.002655002	0.052051524	0.007943982	-26.52330185	2.083701434
0.044399999	74.2843773	1.897168287	-17.30410559	1.121881495	23.65798501	0.452306249	-0.005138588	0.002725885	0.051040237	0.008247461	-27.91934986	1.983169965
0.044799999	73.0216612	1.943303603	-18.00497659	1.111145038	23.95191043	0.444394523	-0.005367799	0.003192896	0.05028836	0.008436611	-28.91919723	2.126849501
0.045199999	71.72507357	2.007972378	-18.64789566	1.022453512	24.24059513	0.436253411	-0.006243088	0.002976008	0.048970858	0.008016293	-30.11939973	2.200878534
0.045599999	70.38396888	2.06209427	-19.23905384	0.89890928	24.52388389	0.427889215	-0.007307287	0.003555312	0.047542333	0.008357103	-31.22102906	2.016201902
0.045999999	69.01424662	2.111193573	-19.76401853	0.855617282	24.80162377	0.419312636	-0.008154804	0.003680296	0.046424372	0.00852099	-32.34655668	2.096321347
0.046399999	67.61019015	2.165774459	-20.14968614	0.802081672	25.07367415	0.410533574	-0.009006164	0.004007478	0.045394959	0.008448274	-33.13510783	2.023221273
0.046799999	66.17567152	2.202768661	-20.63271276	0.80074641	25.33989551	0.401558727	-0.010305193	0.0038756	0.044068785	0.00827827	-34.44520109	2.194749895
0.047199999	64.70383311	2.269841403	-21.07456387	0.872149078	25.60015735	0.392403651	-0.011761783	0.004439801	0.042658726	0.008735468	-35.36181304	2.272523404
