%	1-10788-38173-M-16.06.2015_P10					
%	"""Nm"" "	mm				
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz	Stromstaerke
0.051199999	-24.7105217	47.76294708	27.93424606	-0.037459061	0.05289495	-43.05096054
0.051599999	-24.74695206	45.98046494	28.11990738	-0.039298562	0.051153535	-44.05268097
0.051999999	-25.31307983	44.22413635	28.2985878	-0.04029898	0.050150622	-45.49882126
0.052399999	-24.83492279	42.44369125	28.47028732	-0.042437818	0.047781505	-43.05083084
0.052799999	-24.67024994	40.72311401	28.6349678	-0.045730034	0.04446581	-43.63469315
0.053199999	-25.41906357	38.96512604	28.79261017	-0.048227631	0.041891411	-46.22875595
0.053599999	-25.65681076	37.13263321	28.94327164	-0.051878849	0.03814131	-45.856987
0.053999999	-25.30103683	35.30341721	29.08691406	-0.054715569	0.034600198	-44.49345779
0.054399999	-25.20808983	33.49010468	29.22359467	-0.05573567	0.03269054	-44.76924515
0.054799999	-25.34755516	31.69254684	29.35333252	-0.057832762	0.029408634	-45.24263763
0.055199999	-25.18596268	29.84978485	29.47616577	-0.059006494	0.026694387	-44.361866
0.055599999	-24.67979431	28.04434013	29.59218979	-0.061152023	0.022445768	-42.88320923
0.055999999	-24.13173676	26.27739143	29.70144272	-0.060293414	0.020826459	-41.5351181
0.056399999	-23.79592514	24.59848785	29.80401993	-0.060256161	0.018285513	-41.05161285
0.056799999	-23.54632187	22.92464066	29.90001678	-0.060947528	0.014959127	-40.49782562
0.057199999	-23.29549408	21.27404022	29.98952866	-0.059332945	0.013826638	-39.86933899
0.057599999	-22.87232208	19.62652969	30.07265091	-0.059201848	0.010926276	-38.59689331
0.057999999	-22.26063538	18.02647018	30.14955521	-0.05651861	0.010371804	-36.95823288
0.058399999	-21.63612938	16.48290443	30.22037506	-0.053094709	0.010350496	-35.47930145
0.058799999	-21.02167892	15.00945187	30.28522491	-0.050728167	0.009324998	-34.03549194
0.059199999	-20.45679855	13.59696388	30.34433365	-0.049251337	0.007395893	-32.76746368
0.059599998	-19.95072937	12.22572041	30.39783478	-0.046530152	0.006869584	-31.62137222
0.059999998	-19.44922829	10.89663887	30.44593811	-0.044322824	0.00582844	-30.40911293
0.060399998	-18.89779854	9.590614319	30.48885345	-0.04144459	0.005440265	-29.01888275
0.060799998	-17.91425323	8.336064339	30.52680969	-0.039626434	0.003837049	-27.35226822
0.061199998	-16.79122543	7.124147415	30.56001663	-0.037655518	0.002241433	-25.47639656
0.061599998	-15.5490036	5.988193512	30.58876038	-0.035280925	0.000855029	-23.44264984
0.061999998	-14.23311043	4.913772583	30.61328888	-0.032237014	1.72853E-05	-21.31032181
0.062399998	-12.85989475	3.934345007	30.63388824	-0.028244248	2.98023E-05	-19.10999298
0.062799998	-11.42622566	3.042181492	30.65084457	-0.024960092	-0.000703037	-16.81268501
0.063199998	-9.953192711	2.25140667	30.66448212	-0.022074445	-0.001772046	-14.50687313
0.063599998	-8.522230148	1.556498289	30.67510605	-0.018284509	-0.001803935	-12.26794338
0.063999998	-7.068618774	0.96732688	30.68305969	-0.014225959	-0.001381934	-9.965307236
0.064399998	-5.623510361	0.474736869	30.68872452	-0.011493707	-0.002060831	-7.742491245
0.064799998	-4.281410694	0.091675863	30.69246292	-0.008738167	-0.002400875	-5.678993225
0.065199998	-2.950220585	-0.191434234	30.69465637	-0.005569154	-0.00205487	-3.603915215
0.065599998	-1.606083155	-0.378068298	30.69570541	-0.003533473	-0.002502799	-1.486828327
0.065999998	-0.295387983	-0.467493147	30.69606781	-0.001231596	-0.002458394	0.515275002
0.066399998	1.068127275	-0.460047036	30.69612503	0.001768293	-0.001485944	2.753336668
0.066799998	2.563875914	-0.360806406	30.69637299	0.003969648	-0.001207888	5.238144875
