% Steigung p=10 	Trace: 	1-10788-38139-L-26.05.2015-P10
Zeit	Istpositionmm	StromstaerkeA
2.423999833	82.03119278	-0.885161281
2.424999833	81.94719315	-0.837475479
2.425999833	81.89119339	-0.717559934
2.426999833	81.80719376	-0.719880283
2.427999833	81.751194	-0.807250619
2.428999833	81.66719437	-0.698459804
2.429999833	81.61119461	-0.748631597
2.430999832	81.5271759	-0.938564181
2.431999832	81.47117615	-0.934379995
2.432999832	81.38717651	-0.814944208
2.433999832	81.33117676	-0.773511708
2.434999832	81.24717712	-0.827410221
2.435999832	81.19117737	-0.901792645
2.436999832	81.10717773	-0.819629848
2.437999832	81.05117798	-0.755932748
2.438999832	80.96717834	-1.030259132
2.439999832	80.91117859	-0.910333931
2.440999832	80.82717896	-0.745675087
2.441999832	80.7711792	-0.778044105
2.442999832	80.68717957	-0.524097621
2.443999832	80.63117981	-0.544160306
2.444999831	80.54718018	-0.509720385
2.445999831	80.49118042	-0.388995558
2.446999831	80.40718079	-0.318867803
2.447999831	80.35118103	-0.472529739
2.448999831	80.2671814	-0.627373874
2.449999831	80.21118164	-0.496591538
2.450999831	80.12718201	-0.627523959
2.451999831	80.07118225	-0.771144211
2.452999831	79.98718262	-0.767002821
2.453999831	79.93118286	-0.598910272
2.454999831	79.84718323	-0.670254111
2.455999831	79.79118347	-0.682767868
2.456999831	79.70718384	-0.642147064
2.457999831	79.65118408	-0.518705547
2.458999831	79.56718445	-0.703294039
2.45999983	79.51118469	-0.801464677
2.46099983	79.42718506	-0.694431424
2.46199983	79.3711853	-0.883238316
2.46299983	79.28718567	-0.985927224
2.46399983	79.23118591	-0.977275789
2.46499983	79.14718628	-0.943414211
2.46599983	79.09118652	-0.984042287
2.46699983	79.00718689	-1.304439783
2.46799983	78.95118713	-1.001801968
2.46899983	78.8671875	-0.748454273
2.46999983	78.81118774	-0.637083411
2.47099983	78.72718811	-0.6032148
2.47199983	78.67118835	-0.581085086
2.47299983	78.58718872	-0.642233074
2.473999829	78.53118896	-0.809871137
2.474999829	78.44718933	-0.818388104
2.475999829	78.39118958	-0.884013295
2.476999829	78.30718994	-0.981945097
2.477999829	78.25119019	-0.950049758
2.478999829	78.16719055	-0.918564439
2.479999829	78.1111908	-0.918811798
2.480999829	78.02719116	-0.970432878
2.481999829	77.97119141	-0.88366729
2.482999829	77.88719177	-0.806405485
2.483999829	77.83119202	-0.820117712
2.484999829	77.74719238	-0.695137382
2.485999829	77.69119263	-0.770764828
2.486999829	77.60719299	-0.884141326
2.487999829	77.55119324	-0.954699874
2.488999828	77.4671936	-0.801974416
2.489999828	77.41119385	-0.674261928
2.490999828	77.32719421	-0.790681005
2.491999828	77.27119446	-0.997556329
2.492999828	77.18719482	-0.500689387
2.493999828	77.13119507	-0.28984496
2.494999828	77.04717636	-0.610669613
2.495999828	76.99117661	-0.68432641
2.496999828	76.90717697	-0.530177951
2.497999828	76.85117722	-0.495269686
2.498999828	76.76717758	-0.708576977
2.499999828	76.71117783	-0.554458141
2.500999828	76.62717819	-0.421066314
2.501999828	76.57117844	-0.644068837
2.502999827	76.4871788	-0.734061778
2.503999827	76.43117905	-0.698095918
2.504999827	76.34717941	-0.748912692
2.505999827	76.29117966	-0.88097316
2.506999827	76.20718002	-0.974386752
2.507999827	76.15118027	-0.819532156
2.508999827	76.06718063	-0.828842044
2.509999827	76.01118088	-1.043627739
2.510999827	75.92718124	-1.012010574
2.511999827	75.87118149	-0.886169672
2.512999827	75.78718185	-0.931268096
2.513999827	75.7311821	-1.014084101
2.514999827	75.64718246	-0.885043859
2.515999827	75.59118271	-0.889610171
2.516999827	75.50718307	-0.7614218
2.517999826	75.45118332	-0.568590105
2.518999826	75.36718369	-0.649028003
2.519999826	75.31118393	-0.897099555
2.520999826	75.2271843	-0.91156435
2.521999826	75.17118454	-0.797635376
2.522999826	75.08718491	-0.997172117
2.523999826	75.03118515	-1.047383547
2.524999826	74.94718552	-1.01705277
2.525999826	74.89118576	-0.778851688
2.526999826	74.80718613	-0.830786645
2.527999826	74.75118637	-0.70693481
2.528999826	74.66718674	-0.701012969
2.529999826	74.61118698	-0.652160764
2.530999826	74.52718735	-0.932930529
2.531999825	74.47118759	-0.802991033
2.532999825	74.38718796	-0.65625453
2.533999825	74.3311882	-0.915504813
2.534999825	74.24718857	-0.900724709
2.535999825	74.19118881	-0.939511657
2.536999825	74.10718918	-0.917384148
2.537999825	74.05118942	-0.924674392
2.538999825	73.96718979	-0.829818964
2.539999825	73.91119003	-0.545226097
2.540999825	73.8271904	-0.325390548
2.541999825	73.77119064	-0.397828132
2.542999825	73.68719101	-0.345049888
2.543999825	73.63119125	-0.459191501
2.544999825	73.54719162	-0.545834124
2.545999825	73.49119186	-0.516088545
2.546999824	73.40719223	-0.536613762
2.547999824	73.35119247	-0.685761988
2.548999824	73.26719284	-0.690106869
2.549999824	73.21119308	-0.714524388
2.550999824	73.12719345	-0.683183372
2.551999824	73.0711937	-0.818637609
2.552999824	72.98719406	-0.886177659
2.553999824	72.93119431	-0.77915448
2.554999824	72.84719467	-0.916805804
2.555999824	72.79119492	-0.765765607
2.556999824	72.70717621	-0.683198512
2.557999824	72.65117645	-0.604609728
2.558999824	72.56717682	-0.811681032
2.559999824	72.51117706	-0.959848762
2.560999824	72.42717743	-0.870767117
2.561999823	72.37117767	-0.963800132
2.562999823	72.28717804	-1.061952591
2.563999823	72.23117828	-1.045026064
2.564999823	72.14717865	-0.625122488
2.565999823	72.09117889	-0.725773036
2.566999823	72.00717926	-0.853771031
2.567999823	71.9511795	-0.790543318
2.568999823	71.86717987	-0.75902313
2.569999823	71.81118011	-0.934307277
2.570999823	71.72718048	-0.797415018
2.571999823	71.67118073	-0.637710452
2.572999823	71.58718109	-0.703052461
2.573999823	71.53118134	-0.90218842
2.574999823	71.4471817	-0.924426198
2.575999822	71.39118195	-0.875415623
2.576999822	71.30718231	-0.828350067
2.577999822	71.25118256	-0.821784079
2.578999822	71.16718292	-0.923337042
2.579999822	71.11118317	-0.923154414
2.580999822	71.02718353	-0.909600258
2.581999822	70.97118378	-0.948372424
2.582999822	70.88718414	-0.907611668
2.583999822	70.83118439	-0.92369616
2.584999822	70.74718475	-0.843235791
2.585999822	70.691185	-0.575076997
2.586999822	70.60718536	-0.63165015
2.587999822	70.55118561	-0.486893505
2.588999822	70.46718597	-0.374911994
2.589999822	70.41118622	-0.399900943
2.590999821	70.32718658	-0.652261198
2.591999821	70.27118683	-0.706518173
2.592999821	70.18718719	-0.505201221
2.593999821	70.13118744	-0.615221083
2.594999821	70.04718781	-0.772907972
2.595999821	69.99118805	-0.73246336
2.596999821	69.90718842	-0.658730447
2.597999821	69.85118866	-0.709436893
2.598999821	69.76718903	-0.744038761
2.599999821	69.71118927	-0.626707792
2.600999821	69.62718964	-0.512987137
2.601999821	69.57118988	-0.713916779
2.602999821	69.48719025	-0.784484804
2.603999821	69.43119049	-0.762543559
2.60499982	69.34719086	-0.864787638
2.60599982	69.2911911	-1.040434361
2.60699982	69.20719147	-0.887415409
2.60799982	69.15119171	-0.885232091
2.60899982	69.06719208	-1.078552246
2.60999982	69.01119232	-1.139700651
2.61099982	68.92719269	-0.941149592
2.61199982	68.87119293	-0.771565676
2.61299982	68.7871933	-0.668373048
2.61399982	68.73119354	-0.586184323
2.61499982	68.64719391	-0.550786912
2.61599982	68.59119415	-0.669744551
2.61699982	68.50719452	-0.795723677
2.61799982	68.45119476	-0.827650428
2.61899982	68.36719513	-0.90080291
2.619999819	68.31119537	-0.915605843
2.620999819	68.22717667	-0.882927775
2.621999819	68.17117691	-0.843304038
2.622999819	68.08717728	-0.994698763
2.623999819	68.03117752	-1.070352197
2.624999819	67.94717789	-0.886702001
2.625999819	67.89117813	-0.72305119
2.626999819	67.8071785	-0.785609722
2.627999819	67.75117874	-0.728279948
2.628999819	67.66717911	-0.725950241
2.629999819	67.61117935	-0.709572256
2.630999819	67.52717972	-0.939514279
2.631999819	67.47117996	-0.867181182
2.632999819	67.38718033	-0.757115245
2.633999818	67.33118057	-0.813813925
2.634999818	67.24718094	-0.789018452
2.635999818	67.19118118	-0.51044023
2.636999818	67.10718155	-0.36009407
2.637999818	67.05118179	-0.561067939
2.638999818	66.96718216	-0.580178618
2.639999818	66.9111824	-0.461684585
2.640999818	66.82718277	-0.557192504
2.641999818	66.77118301	-0.736225486
2.642999818	66.68718338	-0.520267963
2.643999818	66.63118362	-0.548460424
2.644999818	66.54718399	-0.649345875
2.645999818	66.49118423	-0.730055094
2.646999818	66.4071846	-0.607543826
2.647999818	66.35118484	-0.658973575
2.648999817	66.26718521	-0.84344548
2.649999817	66.21118546	-0.898223579
2.650999817	66.12718582	-0.845675468
2.651999817	66.07118607	-0.809228778
2.652999817	65.98718643	-1.090459347
2.653999817	65.93118668	-0.872491121
2.654999817	65.84718704	-0.91619873
2.655999817	65.79118729	-0.967643976
2.656999817	65.70718765	-0.892334938
2.657999817	65.6511879	-0.852010608
2.658999817	65.56718826	-0.837366998
2.659999817	65.51118851	-0.688316882
2.660999817	65.42718887	-0.582765698
2.661999817	65.37118912	-0.680729687
2.662999816	65.28718948	-0.80842942
2.663999816	65.23118973	-0.810272098
2.664999816	65.14719009	-0.783926249
2.665999816	65.09119034	-0.996419251
2.666999816	65.0071907	-1.082061768
2.667999816	64.95119095	-0.805713475
2.668999816	64.86719131	-0.779597878
2.669999816	64.81119156	-0.93712467
2.670999816	64.72719193	-0.844898701
2.671999816	64.67119217	-0.654789925
2.672999816	64.58719254	-0.613638163
2.673999816	64.53119278	-0.809564769
2.674999816	64.44719315	-0.750280142
2.675999816	64.39119339	-0.619973302
2.676999816	64.30719376	-0.983731687
2.677999815	64.251194	-0.973189473
2.678999815	64.16719437	-0.879766345
2.679999815	64.11119461	-0.815443158
2.680999815	64.02719498	-0.97499454
2.681999815	63.97119522	-0.838428736
2.682999815	63.88719559	-0.510070145
2.683999815	63.83117676	-0.308225125
2.684999815	63.74717712	-0.307982296
2.685999815	63.69117737	-0.395197034
2.686999815	63.60717773	-0.430082202
2.687999815	63.55117798	-0.559205353
2.688999815	63.46717834	-0.58813864
2.689999815	63.41117859	-0.556412339
2.690999815	63.32717896	-0.602627158
2.691999814	63.2711792	-0.758029938
2.692999814	63.18717957	-0.63025713
2.693999814	63.13117981	-0.788543463
2.694999814	63.04718018	-0.943254709
2.695999814	62.99118042	-0.845886588
2.696999814	62.90718079	-0.846263945
2.697999814	62.85118103	-0.8184793
2.698999814	62.7671814	-0.660237968
2.699999814	62.71118164	-0.587263167
2.700999814	62.62718201	-0.682470262
2.701999814	62.57118225	-0.930381536
2.702999814	62.48718262	-1.005513668
2.703999814	62.43118286	-0.984664679
2.704999814	62.34718323	-1.013935804
2.705999814	62.29118347	-1.028218508
2.706999813	62.20718384	-0.843248606
2.707999813	62.15118408	-0.542078912
2.708999813	62.06718445	-0.779099405
2.709999813	62.01118469	-0.898302317
2.710999813	61.92718506	-0.839735389
2.711999813	61.8711853	-0.742658973
2.712999813	61.78718567	-0.898824513
2.713999813	61.73118591	-0.814580798
2.714999813	61.64718628	-0.748276949
2.715999813	61.59118652	-0.742767632
2.716999813	61.50718689	-0.929101348
2.717999813	61.45118713	-0.843550086
2.718999813	61.3671875	-0.735751748
2.719999813	61.31118774	-0.854725122
2.720999812	61.22718811	-0.914195597
2.721999812	61.17118835	-0.94295454
2.722999812	61.08718872	-0.782714963
2.723999812	61.03118896	-0.962034225
2.724999812	60.94718933	-0.943240821
2.725999812	60.89118958	-0.818642855
2.726999812	60.80718994	-0.712446749
2.727999812	60.75119019	-0.674730718
2.728999812	60.66719055	-0.617954671
2.729999812	60.6111908	-0.527852118
2.730999812	60.52719116	-0.448466629
2.731999812	60.47119141	-0.358551323
2.732999812	60.38719177	-0.429334253
2.733999812	60.33119202	-0.547659755
2.734999812	60.24719238	-0.555569232
2.735999811	60.19119263	-0.512422025
2.736999811	60.10719299	-0.644051135
2.737999811	60.05119324	-0.82393074
2.738999811	59.9671936	-0.701252222
2.739999811	59.91119385	-0.556114554
2.740999811	59.82719421	-0.761313975
2.741999811	59.77119446	-0.5922153
2.742999811	59.68719482	-0.562670469
2.743999811	59.63119507	-0.604881704
2.744999811	59.54719543	-0.779866219
2.745999811	59.49119568	-0.767216027
2.746999811	59.40717697	-0.77121979
2.747999811	59.35117722	-0.849602401
2.748999811	59.26717758	-1.060149312
2.74999981	59.21117783	-0.961686969
2.75099981	59.12717819	-0.95014888
2.75199981	59.07117844	-1.127166867
2.75299981	58.9871788	-1.092310429
2.75399981	58.93117905	-0.880871415
2.75499981	58.84717941	-0.717955709
2.75599981	58.79117966	-0.693767786
2.75699981	58.70718002	-0.627060294
2.75799981	58.65118027	-0.565513194
2.75899981	58.56718063	-0.643462002
2.75999981	58.51118088	-0.803147793
2.76099981	58.42718124	-0.783397138
2.76199981	58.37118149	-0.908623934
2.76299981	58.28718185	-0.894338131
2.76399981	58.2311821	-0.83294028
2.764999809	58.14718246	-0.892508864
2.765999809	58.09118271	-0.964188457
2.766999809	58.00718307	-1.087570786
2.767999809	57.95118332	-0.920992672
2.768999809	57.86718369	-0.713677168
2.769999809	57.81118393	-0.741861224
2.770999809	57.7271843	-0.612028003
2.771999809	57.67118454	-0.672195435
2.772999809	57.58718491	-0.900853157
2.773999809	57.53118515	-0.924292088
2.774999809	57.44718552	-0.693352759
2.775999809	57.39118576	-0.772929609
2.776999809	57.30718613	-0.835879505
2.777999809	57.25118637	-0.649744511
2.778999808	57.16718674	-0.351739794
2.779999808	57.11118698	-0.416879535
2.780999808	57.02718735	-0.757810473
2.781999808	56.97118759	-0.627626002
2.782999808	56.88718796	-0.526446998
2.783999808	56.8311882	-0.534113586
2.784999808	56.74718857	-0.608487248
2.785999808	56.69118881	-0.477893084
2.786999808	56.60718918	-0.449794948
2.787999808	56.55118942	-0.666534781
2.788999808	56.46718979	-0.751259685
2.789999808	56.41119003	-0.714124262
2.790999808	56.3271904	-0.70777458
2.791999808	56.27119064	-0.859692216
2.792999808	56.18719101	-0.899086118
2.793999807	56.13119125	-0.836064935
2.794999807	56.04719162	-0.851956248
2.795999807	55.99119186	-1.033373952
2.796999807	55.90719223	-0.915748119
2.797999807	55.85119247	-0.872169495
2.798999807	55.76719284	-0.993473768
2.799999807	55.71119308	-0.913303196
2.800999807	55.62719345	-0.84592402
2.801999807	55.5711937	-0.862328649
2.802999807	55.48719406	-0.658685923
2.803999807	55.43119431	-0.547049046
2.804999807	55.34719467	-0.680933952
2.805999807	55.29119492	-0.883941293
2.806999807	55.20719528	-0.960617781
2.807999806	55.15119553	-0.902059317
2.808999806	55.06719589	-1.035263777
2.809999806	55.01117706	-1.001762986
2.810999806	54.92717743	-0.816783309
2.811999806	54.87117767	-0.842786968
2.812999806	54.78717804	-0.906923771
2.813999806	54.73117828	-0.799446464
2.814999806	54.64717865	-0.707323849
2.815999806	54.59117889	-0.691464663
2.816999806	54.50717926	-1.05843389
2.817999806	54.4511795	-0.784415901
2.818999806	54.36717987	-0.686239898
2.819999806	54.31118011	-0.944487333
2.820999806	54.22718048	-1.01411581
2.821999806	54.17118073	-0.891726315
2.822999805	54.08718109	-0.843677402
2.823999805	54.03118134	-0.92850399
2.824999805	53.9471817	-0.891713619
2.825999805	53.89118195	-0.561495602
2.826999805	53.80718231	-0.361152887
2.827999805	53.75118256	-0.306880772
2.828999805	53.66718292	-0.349053025
2.829999805	53.61118317	-0.385829926
2.830999805	53.52718353	-0.638228834
2.831999805	53.47118378	-0.655814469
2.832999805	53.38718414	-0.624303222
2.833999805	53.33118439	-0.700215936
2.834999805	53.24718475	-0.794070482
2.835999805	53.191185	-0.722845018
2.836999804	53.10718536	-0.788947344
2.837999804	53.05118561	-0.899032593
2.838999804	52.96718597	-0.806638539
2.839999804	52.91118622	-0.766673207
2.840999804	52.82718658	-0.923733473
2.841999804	52.77118683	-0.728566527
2.842999804	52.68718719	-0.653100133
2.843999804	52.63118744	-0.776565731
2.844999804	52.54718781	-0.947210431
2.845999804	52.49118805	-0.988452792
2.846999804	52.40718842	-0.911708593
2.847999804	52.35118866	-1.065057516
2.848999804	52.26718903	-1.071651697
2.849999804	52.21118927	-0.869188607
2.850999804	52.12718964	-0.67454946
2.851999803	52.07118988	-0.896110892
2.852999803	51.98719025	-0.852582037
2.853999803	51.93119049	-0.735598326
2.854999803	51.84719086	-0.771292865
2.855999803	51.7911911	-0.877147377
2.856999803	51.70719147	-0.79594779
2.857999803	51.65119171	-0.690954685
2.858999803	51.56719208	-0.856179237
