%Seriennummer:	38207						
%Standardabweichung	0.126951651	0.038623982	0.022925159	0.156966364	1.04340932	1.285099895	1.52468485
%Mittelwert	0.803429949	0.852430369	0.931007972	0.76483879	22.78458695	22.90280642	23.24585232
Punkte:	StromLauf1	StromLauf2	StromLauf3	StromLauf4	Temperatursensor1	Temperatursensor2	Temperatursensor3
-306	0.8942384	0.8365456	0.9230848				
-305	0.9134694	0.8365456	0.9423158				
-304	0.8365456	0.7980838	0.9519312				
-303	0.8461611	0.8269302	0.9230848				
-302	0.3557723	0.8269302	0.9230848				
-301	0.8076992	0.8750075	0.9327003				
-300	0.8365456	0.8846229	0.9134694				
-299	0.8557765	0.8269302	0.9230848				
-298	0.3653877	0.8269302	0.9423158				
-297	0.4903888	0.8461611	0.9134694				
-296	0.8461611	0.9519312	0.9423158				
-295	0.8557765	0.8365456	0.9230848				
-294	0.8076992	0.8076992	0.9134694				
-293	0.8365456	0.8461611	0.9230848				
-292	0.7980838	0.8846229	0.9807776				
-291	0.9230848	0.8557765	0.9134694				
-290	0.3461568	0.865392	0.9230848				
-289	0.8076992	0.8365456	0.9423158				
-288	0.8173147	0.8461611	0.9903931				
-287	0.8269302	0.8173147	0.9038539				
-286	0.8942384	0.865392	0.9519312				
-285	0.865392	0.8846229	0.8846229				
-284	0.8365456	0.8269302	0.9711621				
-283	0.8173147	0.8846229	0.9038539				
-282	0.8365456	0.8269302	0.9134694				
-281	0.8173147	0.8461611	0.9327003				
-280	0.8269302	0.9230848	0.9519312				
-279	0.8942384	0.8076992	0.9134694				
-278	0.865392	0.8076992	0.9230848				
-277	0.4423115	0.8557765	0.9134694				
-276	0.8461611	0.8846229	0.9807776				
-275	0.865392	0.8269302	0.9038539				
-274	0.8173147	0.8173147	0.9230848				
-273	0.8173147	0.8269302	0.8846229				
-272	0.8365456	0.9038539	0.9519312				
-271	0.8557765	0.8076992	0.9230848				
-270	0.3365414	0.8076992	0.9519312				
-269	0.8173147	0.8846229	0.9230848				
-268	0.7980838	0.865392	0.9519312				
-267	0.8365456	0.865392	0.9327003				
-266	0.8365456	0.8173147	0.9134694				
-265	0.8846229	0.8365456	0.9711621				
-264	0.8846229	0.865392	0.9807776				
-263	0.8846229	0.8076992	0.9423158				
-262	0.8750075	0.8076992	0.9230848				
-261	0.8269302	0.8461611	0.9134694				
-260	0.8269302	0.8750075	0.9519312				
-259	0.8365456	0.8461611	0.9327003				
-258	0.8365456	0.8942384	0.9134694				
-257	0.865392	0.9038539	0.9038539				
-256	0.8461611	0.9230848	0.9423158				
-255	0.8461611	0.8269302	0.9230848				
-254	0.9038539	0.8269302	0.9230848				
-253	0.8461611	0.8750075	0.9423158				
-252	0.8076992	0.8846229	0.9615467				
-251	0.8269302	0.8557765	0.9038539				
-250	0.8269302	0.7980838	0.9134694				
-249	0.4615424	0.8365456	0.9519312				
-248	0.8076992	0.8365456	0.9519312				
-247	0.8846229	0.8269302	0.9230848				
-246	0.9230848	0.7884683	0.9230848				
-245	0.8269302	0.8365456	0.8846229				
-244	0.8076992	0.8461611	0.9711621				
-243	0.8076992	0.8173147	0.9230848				
-242	0.8173147	0.7980838	0.9327003				
-241	0.8269302	0.8750075	0.9230848				
-240	0.8173147	0.8846229	0.9711621				
-239	0.8750075	0.7980838	0.9134694				
-238	0.8365456	0.8076992	0.9519312				
-237	0.8269302	0.865392	0.9038539				
-236	0.8173147	0.8557765	0.9423158				
-235	0.9327003	0.8173147	0.9134694				
-234	0.3750032	0.8076992	0.8846229				
-233	0.5673125	0.9519312	0.9230848				
-232	0.8846229	0.8846229	0.9134694				
-231	0.8846229	0.8269302	0.9230848				
-230	0.865392	0.8461611	0.9038539				
-229	0.8173147	0.865392	0.9423158				
-228	0.865392	0.8942384	0.9134694				
-227	0.8750075	0.8269302	0.9134694				
-226	0.8461611	0.8076992	0.9038539				
-225	0.8365456	0.8269302	0.8942384				
-224	0.8365456	0.865392	0.9327003				
-223	0.8846229	0.8269302	0.9230848				
-222	0.7596219	0.8557765	0.9038539				
-221	0.7788528	0.7980838	0.9038539				
-220	0.865392	0.8557765	0.9519312				
-219	0.8365456	0.8173147	0.9134694				
-218	0.3557723	0.8365456	0.9230848				
-217	0.8269302	0.8846229	0.9038539				
-216	0.8076992	0.9327003	0.9134694				
-215	0.8365456	0.8173147	0.9230848				
-214	0.8750075	0.8173147	0.9423158				
-213	0.7980838	0.8557765	0.9711621				
-212	0.8365456	0.9038539	0.9807776				
-211	0.865392	0.8461611	0.9327003				
-210	0.8269302	0.7884683	0.9327003				
-209	0.7884683	0.8846229	0.9134694				
-208	0.8365456	0.865392	0.9134694				
-207	0.8461611	0.8557765	0.9423158				
-206	0.8269302	0.7884683	0.9038539				
-205	0.8846229	0.865392	0.8846229				
-204	0.8461611	0.8365456	0.9519312				
-203	0.8557765	0.8269302	0.9327003				
-202	0.865392	0.8173147	0.9423158				
-201	0.7980838	0.8461611	0.8942384				
-200	0.7884683	0.9423158	0.9519312				
-199	0.8365456	0.8557765	0.9038539				
-198	0.8076992	0.8076992	0.9134694				
-197	0.7980838	0.8269302	0.9230848				
-196	0.7980838	0.9134694	0.9327003				
-195	0.9038539	0.8365456	0.9038539				
-194	0.8173147	0.8557765	0.9327003				
-193	0.5096198	0.9711621	0.9423158				
-192	0.8173147	0.9519312	0.9038539				
-191	0.8365456	0.8750075	0.9134694				
-190	0.9038539	0.865392	0.8942384				
-189	0.8365456	0.8750075	0.9327003				
-188	0.8076992	0.865392	0.9327003	0			
-187	0.8461611	0.865392	0.9038539	0.865392			
-186	0.8269302	0.8365456	0.9807776	0.8365456			
-185	0.7884683	0.8461611	0.9423158	0.8846229			
-184	0.8076992	0.9327003	0.9134694	0.8365456			
-183	0.9134694	0.8365456	0.9038539	0.8076992			
-182	0.3461568	0.8269302	0.9423158	0.9134694			
-181	0.8076992	0.8269302	0.9038539	0.8557765			
-180	0.8365456	0.8846229	0.9038539	0.8173147			
-179	0.8365456	0.8173147	0.9230848	0.8461611			
-178	0.8750075	0.8076992	0.9423158	0.865392			
-177	0.7980838	0.9134694	0.9327003	0.8750075			
-176	0.7980838	0.8461611	0.9423158	0.7980838			
-175	0.7884683	0.8173147	0.9519312	0.7980838			
-174	0.8365456	0.8750075	0.9327003	0.865392			
-173	0.8750075	0.8173147	0.8942384	0.8076992			
-172	0.8365456	0.8269302	0.9423158	0.8557765			
-171	0.7788528	0.8557765	0.9230848	0.8557765			
-170	0.3750032	0.8461611	0.9327003	0.8076992			
-169	0.8269302	0.8365456	0.9230848	0.865392			
-168	0.8557765	0.865392	0.9230848	0.5000043			
-167	0.8942384	0.865392	0.9230848	0.8173147			
-166	0.8942384	0.8173147	0.9615467	0.8173147			
-165	0.5384662	0.8750075	0.9038539	0.8173147			
-164	0.7980838	0.9038539	0.9230848	0.8750075			
-163	0.8365456	0.8365456	0.9134694	0.8076992			
-162	0.8076992	0.8076992	0.9327003	0.8846229			
-161	0.8461611	0.8365456	0.9134694	0.8461611			
-160	0.8269302	0.9423158	0.9327003	0.7980838			
-159	0.9134694	0.8076992	0.9230848	0.8365456			
-158	0.8173147	0.8173147	0.9134694	0.7788528			
-157	0.8076992	0.8846229	0.9423158	0.8365456			
-156	0.8750075	0.8557765	0.9230848	0.7788528			
-155	0.8750075	0.8557765	0.9615467	0.8076992			
-154	0.3269259	0.7980838	0.9230848	0.8942384			
-153	0.5384662	0.8076992	0.9038539	0.2980795			
-152	0.7788528	0.8269302	0.9327003	0.8173147			
-151	0.8846229	0.8076992	0.9327003	0.7980838			
-150	0.8365456	0.8365456	0.9230848	0.8557765			
-149	0.5192352	0.8269302	0.9038539	0.9038539			
-148	0.8076992	0.8461611	0.9807776	0.8076992			
-147	0.8461611	0.8557765	0.9038539	0.8461611			
-146	0.8269302	0.7980838	0.9134694	0.8942384			
-145	0.8365456	0.8365456	0.9134694	0.7884683			
-144	0.8076992	0.9134694	0.9327003	0.432696			
-143	0.8557765	0.8365456	0.9038539	0.8173147			
-142	0.2980795	0.8557765	0.9230848	0.8076992			
-141	0.8846229	0.8942384	0.9038539	0.8076992			
-140	0.8365456	0.9711621	0.9519312	0.7980838			
-139	0.8750075	0.8461611	0.9615467	0.7980838			
-138	0.8365456	0.8076992	0.9423158	0.8365456			
-137	0.8365456	0.8461611	0.9327003	0.8269302			
-136	0.8365456	0.8365456	0.9615467	0.4423115			
-135	0.8365456	0.8750075	0.9519312	0.8365456			
-134	0.8365456	0.8269302	0.9038539	0.8557765			
-133	0.8076992	0.8750075	0.9327003	0.7980838			
-132	0.8557765	0.8846229	0.9615467	0.865392			
-131	0.8461611	0.865392	0.9519312	0.8461611			
-130	0.3846187	0.8365456	0.9134694	0.7980838			
-129	0.8846229	0.8269302	0.9038539	0.7884683			
-128	0.8942384	0.8750075	0.9423158	0.4807734			
-127	0.8750075	0.8365456	0.9327003	0.8173147			
-126	0.4038496	0.8461611	0.9230848	0.8076992			
-125	0.7980838	0.8942384	0.9230848	0.3269259			
-124	0.8173147	1.000009	0.9423158	0.8173147			
-123	0.8557765	0.8461611	0.9327003	0.8269302			
-122	0.7884683	0.8365456	0.9327003	0.7884683			
-121	0.8365456	0.8461611	0.9519312	0.8076992			
-120	0.8365456	0.865392	0.9711621	0.4807734			
-119	0.8750075	0.8557765	0.9615467	0.8557765			
-118	0.8269302	0.8365456	0.9230848	0.8557765			
-117	0.4711579	0.8557765	0.8942384	0.7692373			
-116	0.8365456	0.9327003	0.9423158	0.8365456			
-115	0.8365456	0.8365456	0.9230848	0.8365456			
-114	0.8173147	0.865392	0.9423158	0.7884683			
-113	0.7788528	0.865392	0.9327003	0.3076949			
-112	0.8269302	0.8557765	0.9903931	0.4615424			
-111	0.865392	0.8076992	0.9134694	0.865392			
-110	0.8461611	0.8365456	0.9134694	0.8365456			
-109	0.7788528	0.865392	0.9134694	0.8076992			
-108	0.8269302	0.9519312	0.9230848	0.7884683			
-107	0.8846229	0.8173147	0.9327003	0.8365456			
-106	0.8461611	0.8461611	0.9327003	0.8750075			
-105	0.8173147	0.8750075	0.8846229	0.7980838			
-104	0.865392	0.9711621	0.9519312	0.8461611			
-103	0.865392	0.8173147	0.9230848	0.8461611			
-102	0.8557765	0.8269302	0.9711621	0.8750075			
-101	0.8076992	0.9038539	0.9134694	0.7788528			
-100	0.8269302	0.9038539	0.9807776	0.8173147			
-99	0.8365456	0.8173147	0.9327003	0.7596219			
-98	0.8365456	0.8173147	0.9038539	0.9134694			
-97	0.8365456	0.8557765	0.9423158	0.3557723			
-96	0.7980838	0.8269302	0.9134694	0.8365456			
-95	0.8557765	0.8173147	0.9327003	0.8173147	20.72947	20.52892	20.72947
-94	0.8365456	0.8269302	0.9230848	0.8461611	20.6292	20.52892	20.6292
-93	0.8365456	0.9230848	0.9038539	0.7692373	20.72947	20.52892	20.6292
-92	0.7788528	0.8942384	0.9423158	0.4230805	20.82975	20.82975	20.72947
-91	0.8557765	0.8461611	0.9134694	0.7980838	20.93003	21.0303	20.82975
-90	0.3461568	0.8269302	0.9327003	0.8269302	21.13058	21.23085	21.0303
-89	0.7884683	0.865392	0.8942384	0.8365456	21.33113	21.33113	21.13058
-88	0.7884683	0.8750075	0.9423158	0.7500064	21.4314	21.33113	21.33113
-87	0.8750075	0.8173147	0.9230848	0.8173147	21.4314	21.33113	21.33113
-86	0.3653877	0.7884683	0.9230848	0.865392	21.33113	21.33113	21.33113
-85	0.8557765	0.8557765	0.9134694	0.4038496	21.33113	21.33113	21.4314
-84	0.8076992	0.8942384	0.9903931	0.8365456	21.4314	21.33113	21.53168
-83	0.8557765	0.8365456	0.9519312	0.8365456	21.53168	21.53168	21.53168
-82	0.8365456	0.8365456	0.8942384	0.865392	21.63195	21.73223	21.63195
