%	"""Nm"" "	"""1/s"" "	mm	mm	mm	"""A"" "
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz	Stromstaerke
0.063199998	-9.691902161	1.955400467	30.67577362	-0.013700745	-0.007079393	-14.08595562
0.063599998	-8.211268425	1.303310394	30.68458557	-0.010746892	-0.007358044	-11.72277832
0.063999998	-6.7431674	0.719888806	30.69097519	-0.008263977	-0.007779151	-9.4562397
0.064399998	-5.220132828	0.285211653	30.69530487	-0.004907518	-0.007456988	-7.02756691
0.064799998	-3.744899273	-0.092237331	30.69797516	-0.002246042	-0.007451028	-4.749570847
0.065199998	-2.321174622	-0.302679628	30.69936752	0.000121344	-0.007733852	-2.634028673
0.065599998	-0.79958415	-0.466862649	30.69990158	0.002611936	-0.007511824	-0.072453082
0.065999998	0.635750949	-0.462459862	30.69999695	0.00467569	-0.007621497	2.097152233
0.066399998	2.026810884	-0.423547447	30.70014954	0.007744359	-0.006497353	4.489619732
0.066799998	3.733060837	-0.215931937	30.70077896	0.010320151	-0.005779713	7.180502892
0.067199998	5.395155907	0.04835074	30.70230484	0.012826805	-0.005006939	9.808732033
0.067599998	7.046903133	0.465492785	30.70514679	0.015679763	-0.003677756	12.37293911
0.067999998	8.670520782	0.952291071	30.70972443	0.019277801	-0.001503676	14.88911247
0.068399998	10.27666473	1.571428657	30.71640015	0.021073676	-0.000789613	17.38870621
0.068799998	11.77001286	2.279083252	30.72555542	0.02338643	0.00057891	19.62232399
0.069199998	13.09337616	3.075885296	30.73753357	0.024613196	0.001326054	21.56389236
0.069599998	14.31541634	3.971603394	30.75263977	0.025088259	0.001464337	23.40250015
0.069999998	15.37750149	4.915929317	30.77123642	0.026106955	0.002623051	25.00703621
0.070399998	16.26164627	5.951421261	30.79360962	0.026019388	0.002773851	26.21982956
0.070799998	17.17959023	7.005978584	30.82006454	0.027066716	0.004366189	27.68685913
0.071199998	18.11285019	8.150276184	30.85083008	0.026592654	0.004444867	29.19430351
0.071599998	18.97661591	9.309820175	30.8862114	0.026809038	0.005349368	30.56118965
0.071999998	19.52019691	10.55710506	30.9264183	0.027959964	0.007171482	31.83083725
0.072399998	20.04167175	11.8249855	30.97169876	0.02929864	0.00919804	33.02184296
0.072799998	20.54735374	13.17862892	31.02228165	0.028111283	0.008721799	34.08246994
0.073199998	20.89078903	14.56284142	31.07833862	0.028505733	0.009854585	34.83995056
0.073599998	21.28743553	16.01768875	31.14006042	0.030670925	0.012861639	35.88680267
0.073999998	21.72815132	17.49023438	31.20765686	0.031851341	0.01486972	37.01343536
0.074399998	22.30887222	18.99730301	31.28126144	0.032209342	0.016123801	38.54400635
0.074799998	22.9138031	20.53733063	31.36100769	0.031893738	0.016555041	39.97956467
0.075199998	23.37800789	22.10910225	31.44706726	0.032993257	0.018451661	40.85842514
0.075599998	23.58849144	23.74889946	31.5395546	0.032702149	0.018923134	41.05635452
0.075999998	23.56750298	25.41274452	31.63856506	0.033084624	0.020271391	40.7821312
0.076399998	23.7338047	27.12018967	31.7442131	0.033263513	0.0215213	41.541008
0.076799998	24.17567825	28.81052017	31.85659409	0.032349187	0.021832138	42.87130356
0.077199998	24.48853111	30.52991295	31.97574615	0.033347146	0.024017245	43.25653839
0.077599998	24.30436707	32.25564194	32.10176468	0.033392031	0.025322288	42.47352982
0.077999998	24.19825745	34.0306015	32.23470688	0.035466426	0.028778166	42.29818726
0.078399998	24.60297394	35.77230453	32.37459183	0.033752886	0.028545707	43.94367599
0.078799998	24.98821259	37.51187897	32.52147675	0.034142071	0.030376762	44.56371307
0.079199998	24.58241653	39.26008606	32.67534256	0.034701414	0.032315701	42.5195961
0.079599998	24.28957939	40.99879456	32.83624649	0.033488292	0.032524616	42.53146744
0.079999998	24.91019821	42.7310257	33.00415039	0.033432785	0.033684224	44.87584305
0.080399998	24.87388611	44.49796295	33.17907333	0.034524892	0.036075264	43.50255966
0.080799998	24.41784477	46.28806305	33.36097717	0.034791697	0.037763268	42.56484222
0.081199998	24.82460594	48.02688599	33.54984283	0.034205532	0.038736612	44.40027618
0.081599998	24.5528698	49.82505035	33.74563217	0.033703465	0.039859563	42.48218536
0.081999998	24.10154915	51.55698395	33.94830704	0.033239517	0.041340441	41.90831757
0.082399998	24.41770363	53.27131653	34.15777206	0.032757185	0.042731613	43.2177887
0.082799998	23.55149269	54.98937225	34.37400818	0.031215595	0.043211132	39.61496735
0.083199998	23.56720543	56.63176727	34.59692001	0.031471429	0.045550019	41.26665497
0.083599998	23.46572304	58.2962265	34.82643127	0.028560199	0.044561476	40.0411911
0.083999998	22.9809227	59.95200348	35.06244659	0.028253784	0.046480149	39.16000748
0.084399998	22.83765411	61.56519318	35.30488968	0.029477403	0.049865991	38.85153961
0.084799998	22.3449173	63.16307831	35.55362701	0.027244575	0.05006209	37.50725555
0.085199998	22.36686325	64.7272644	35.80858231	0.025350293	0.050575882	37.85953522
0.085599998	21.50030708	66.23049927	36.06960297	0.023675375	0.05141452	34.88295746
0.085999998	21.39666557	67.72195435	36.33657455	0.023071878	0.053154975	35.56581116
0.086399998	20.84885025	69.16378784	36.60936356	0.021453332	0.05411163	33.73160934
