Zeit1	Lauf1Units	Lauf1mm	Zeit2	Lauf2Units	Lauf2mm	Zeit3	Lauf3Units	Lauf3mm
0.151199993	701176	13.37387085	0.100799997	410483	7.829341888	0.100799997	481143	9.177074432
0.152399992	711662	13.57387543	0.101599997	424464	8.096008301	0.101599997	501815	9.571361542
0.153599992	722148	13.77388	0.102399997	438445	8.362674713	0.102399997	522620	9.968185425
0.154799992	732634	13.97388458	0.103199997	452426	8.629341125	0.103199997	543518	10.36678314
0.155999992	743119	14.17387009	0.103999997	466407	8.896007538	0.103999997	564471	10.7664299
0.157199992	753605	14.37387466	0.104799997	480388	9.16267395	0.104799997	585441	11.16640091
0.158399992	764091	14.57387924	0.105599997	494369	9.429340363	0.105599997	606413	11.56641006
0.159599992	774577	14.77388382	0.106399997	508350	9.696006775	0.106399997	627384	11.96640015
0.160799992	785062	14.97386932	0.107199997	522331	9.962673187	0.107199997	648356	12.3664093
0.161999992	795548	15.1738739	0.107999997	536312	10.2293396	0.107999997	669328	12.76641846
0.163199992	806034	15.37387848	0.108799997	550293	10.49600601	0.108799997	690299	13.16640854
0.164399992	816520	15.57388306	0.109599997	564274	10.76267242	0.109599997	711271	13.56641769
0.165599992	827005	15.77386856	0.110399997	578255	11.02933884	0.110399997	732242	13.96640778
0.166799992	837491	15.97387314	0.111199997	592236	11.29600525	0.111199997	753214	14.36641693
0.167999992	847977	16.17387772	0.111999997	606217	11.56267166	0.111999997	774185	14.76640701
0.169199992	858463	16.37388229	0.112799997	620198	11.82933807	0.112799997	795157	15.16641617
0.170399992	868948	16.5738678	0.113599997	634179	12.09600449	0.113599997	816128	15.56640625
0.171599992	879434	16.77387238	0.114399997	648160	12.3626709	0.114399997	837100	15.96641541
0.172799991	889920	16.97387695	0.115199997	662141	12.62933731	0.115199997	858071	16.36640549
0.173999991	900406	17.17388153	0.115999997	676122	12.89600372	0.115999997	879043	16.76641464
0.175199991	910891	17.37386703	0.116799997	690103	13.16267014	0.116799997	900014	17.16640472
0.176399991	921377	17.57387161	0.117599997	704084	13.42933655	0.117599997	920986	17.56641388
0.177599991	931863	17.77387619	0.118399997	718065	13.69600296	0.118399997	941957	17.96640396
0.178799991	942349	17.97388077	0.119199997	732046	13.96266937	0.119199997	962929	18.36641312
0.179999991	952834	18.17386627	0.119999997	746027	14.22933578	0.119999997	983900	18.7664032
0.181199991	963320	18.37387085	0.120799997	760008	14.4960022	0.120799997	1004872	19.16641235
0.182399991	973806	18.57387543	0.121599997	773989	14.76266861	0.121599997	1025843	19.56640244
0.183599991	984292	18.77388	0.122399997	787970	15.02933502	0.122399997	1046815	19.96641159
0.184799991	994778	18.97388458	0.123199997	801951	15.29600143	0.123199997	1067786	20.36640167
0.185999991	1005263	19.17387009	0.123999997	815932	15.56266785	0.123999997	1088758	20.76641083
0.187199991	1015749	19.37387466	0.124799997	829913	15.82933426	0.124799997	1109729	21.16640091
0.188399991	1026235	19.57387924	0.125599997	843894	16.09600067	0.125599997	1130701	21.56641006
0.189599991	1036721	19.77388382	0.126399997	857875	16.36266708	0.126399997	1151672	21.96640015
0.190799991	1047206	19.97386932	0.127199997	871856	16.6293335	0.127199997	1172644	22.3664093
0.19199999	1057692	20.1738739	0.127999997	885837	16.89599991	0.127999997	1193615	22.76639938
0.19319999	1068178	20.37387848	0.128799997	899818	17.16266632	0.128799997	1214587	23.16640854
0.19439999	1078664	20.57388306	0.129599997	913799	17.42933273	0.129599997	1235559	23.56641769
0.19559999	1089149	20.77386856	0.130399997	927780	17.69599915	0.130399997	1256530	23.96640778
0.19679999	1099635	20.97387314	0.131199997	941762	17.96268463	0.131199997	1277502	24.36641693
0.19799999	1110121	21.17387772	0.131999997	955743	18.22935104	0.131999997	1298473	24.76640701
0.19919999	1120607	21.37388229	0.132799997	969724	18.49601746	0.132799997	1319445	25.16641617
0.20039999	1131092	21.5738678	0.133599997	983705	18.76268387	0.133599997	1340416	25.56640625
0.20159999	1141578	21.77387238	0.134399997	997686	19.02935028	0.134399997	1361388	25.96641541
0.20279999	1152064	21.97387695	0.135199997	1011667	19.29601669	0.135199997	1382359	26.36640549
0.20399999	1162550	22.17388153	0.135999997	1025648	19.56268311	0.135999997	1403331	26.76641464
0.20519999	1173035	22.37386703	0.136799997	1039629	19.82934952	0.136799997	1424302	27.16640472
0.20639999	1183521	22.57387161	0.137599997	1053610	20.09601593	0.137599997	1445274	27.56641388
0.20759999	1194007	22.77387619	0.138399997	1067591	20.36268234	0.138399997	1466245	27.96640396
0.20879999	1204493	22.97388077	0.139199996	1081572	20.62934875	0.139199996	1487217	28.36641312
0.20999999	1214978	23.17386627	0.139999996	1095553	20.89601517	0.139999996	1508188	28.7664032
