% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""980 ... CTRL Position controller: Lag error. 08/12/15. 15:39:46"" XUNIT=""time/s"" YUNIT=""Units"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" DATASOURCE=""TraceType=ACP10:ParID=112:NcObjName=980:HwConfStruct=00:0001:01:8001:00:13:ini_par:"" ROWS=1000 COLS=2 COLSEP=""SEMICOLON"" "			
% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""980 ... CTRL Position controller: Set speed. 08/12/15. 15:39:46"" XUNIT=""time/s"" YUNIT=""Units/s"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" DATASOURCE=""TraceType=ACP10:ParID=114:NcObjName=980:HwConfStruct=00:0001:01:8001:00:13:ini_par:"" ROWS=1000 COLS=2 COLSEP=""SEMICOLON"" "			
% TYPE=CHART-DATA-ASCII V=2.0 TITLE=""980 ... CTRL Position controller: Set position. 08/12/15. 15:39:46"" XUNIT=""time/s"" YUNIT=""Units"" FORMULA=""DO_NOT_CHANGE_ORIGINAL_DATA"" DATASOURCE=""TraceType=ACP10:ParID=113:NcObjName=980:HwConfStruct=00:0001:01:8001:00:13:ini_par:"" ROWS=1000 COLS=2 COLSEP=""SEMICOLON"" "			
Zeit	Lag_Error	Set_speed	Set_position
0.079999994	0.001364648	199.9999809	14.0883255
0.081999994	0.000151452	199.9999809	14.48833466
0.083999994	5.88223E-05	199.9999809	14.88832474
0.085999994	0.001108218	199.9999809	15.28833389
0.087999994	0.000383183	199.9999809	15.68832397
0.089999994	0.002157968	199.9999809	16.08833313
0.091999994	0.002473034	199.9999809	16.48832321
0.093999994	0.001926217	199.9999809	16.88833237
0.095999993	0.001278967	199.9999809	17.28832245
0.097999993	-0.001462493	199.9999809	17.6883316
0.099999993	-0.000732578	199.9999809	18.08832169
0.101999993	0.000858922	199.9999809	18.48833084
0.103999993	-0.000547245	199.9999809	18.88832092
0.105999993	-0.000952501	199.9999809	19.28833008
0.107999993	-0.003027879	199.9999809	19.68832016
0.109999992	-0.001074728	199.9999809	20.08832932
0.111999992	0.00061959	199.9999809	20.4883194
0.113999992	0.001593623	199.9999809	20.88832855
0.115999992	-0.002224767	199.9999809	21.28833771
0.117999992	-0.000864398	199.9999809	21.68832779
0.119999992	0.000143871	199.9999809	22.08833694
0.121999992	-0.000598449	199.9999809	22.48832703
0.123999991	0.002307035	199.9999809	22.88833618
0.125999991	-0.001729038	199.9999809	23.28832626
0.127999991	-0.000484139	199.9999809	23.68833542
0.129999991	0.001200642	199.9999809	24.0883255
0.131999991	0.000627004	199.9999809	24.48833466
0.133999991	0.002362449	199.9999809	24.88832474
0.135999991	-0.001831576	199.9999809	25.28833389
0.13799999	1.65217E-05	199.9999809	25.68832397
0.13999999	0.002519079	199.9999809	26.08833313
0.14199999	0.000433866	199.9999809	26.48832321
0.14399999	0.001974404	199.9999809	26.88833237
0.14599999	-0.00161225	199.9999809	27.28832245
0.14799999	-0.00082124	199.9999809	27.6883316
0.14999999	5.02355E-05	199.9999809	28.08832169
0.15199999	0.000587329	199.9999809	28.48833084
0.153999989	0.000985246	199.9999809	28.88832092
0.155999989	-0.002701245	199.9999809	29.28833008
0.157999989	-0.002698954	199.9999809	29.68832016
0.159999989	2.07126E-05	199.9999809	30.08832932
0.161999989	0.000643265	199.9999809	30.4883194
0.163999989	0.001199879	199.9999809	30.88832855
0.165999989	-0.002091182	199.9999809	31.28831863
0.167999988	-0.00111185	199.9999809	31.68832779
0.169999988	0.000287425	199.9999809	32.08833694
0.171999988	-0.000264756	199.9999809	32.48832703
0.173999988	0.001473669	199.9999809	32.88833618
0.175999988	-0.001578331	199.9999809	33.28832626
0.177999988	-0.001878385	199.9999809	33.68833542
0.179999988	0.001429431	199.9999809	34.0883255
0.181999987	-0.000440609	199.9999809	34.48833466
0.183999987	0.001944527	199.9999809	34.88832474
0.185999987	-0.000794549	199.9999809	35.28833389
0.187999987	-0.000767969	199.9999809	35.68832397
0.189999987	0.002007578	199.9999809	36.08833313
0.191999987	-0.001461357	199.9999809	36.48832321
0.193999987	0.001075175	199.9999809	36.88833237
0.195999986	-0.001117326	199.9999809	37.28832245
0.197999986	-0.001696032	199.9999809	37.6883316
0.199999986	0.000562444	199.9999809	38.08832169
0.201999986	-0.002240408	199.9999809	38.48833084
0.203999986	0.001306869	199.9999809	38.88832092
0.205999986	-0.001200493	199.9999809	39.28833008
0.207999986	-0.001593679	199.9999809	39.68832016
0.209999986	0.000523087	199.9999809	40.08832932
0.211999985	-0.001896434	199.9999809	40.4883194
0.213999985	0.001628865	199.9999809	40.88832855
0.215999985	-0.000419505	199.9999809	41.28831863
0.217999985	-0.000257809	199.9999809	41.68832779
0.219999985	0.001114048	199.9999809	42.08831787
0.221999985	5.70156E-05	199.9999809	42.48832703
0.223999985	0.001885444	199.9999809	42.88833618
0.225999984	-0.001422856	199.9999809	43.28832626
0.227999984	-0.000409819	199.9999809	43.68833542
0.229999984	0.000432748	199.9999809	44.0883255
0.231999984	-0.00041686	199.9999809	44.48833466
0.233999984	-0.000126231	199.9999809	44.88832474
0.235999984	0.001201518	199.9999809	45.28833389
0.237999984	-0.000517126	199.9999809	45.68832397
0.239999983	-2.38419E-05	199.9999809	46.08833313
0.241999983	0.00107443	199.9999809	46.48832321
0.243999983	-0.001330264	199.9999809	46.88833237
0.245999983	-0.000405144	199.9999809	47.28832245
0.247999983	-0.001376942	199.9999809	47.6883316
0.249999983	-0.001330394	199.9999809	48.08832169
0.251999983	-7.08923E-05	199.9999809	48.48833084
0.253999982	9.76957E-05	199.9999809	48.88832092
0.255999982	-0.000207573	199.9999809	49.28833008
0.257999982	-0.000698362	199.9999809	49.68832016
0.259999982	-0.000625141	199.9999809	50.08832932
0.261999982	0.001940746	199.9999809	50.4883194
0.263999982	0.000624768	199.9999809	50.88832855
0.265999982	-0.000110138	199.9999809	51.28831863
0.267999982	3.65451E-05	199.9999809	51.68832779
0.269999981	-0.001179036	199.9999809	52.08831787
0.271999981	0.000893772	199.9999809	52.48832703
0.273999981	-0.000898186	199.9999809	52.88831711
0.275999981	-0.001020618	199.9999809	53.28832626
0.277999981	0.000510383	199.9999809	53.68833542
0.279999981	-0.000549629	199.9999809	54.0883255
0.281999981	-0.001225788	199.9999809	54.48833466
0.28399998	0.000515021	199.9999809	54.88832474
0.28599998	-0.000534859	199.9999809	55.28833389
0.28799998	0.000890642	199.9999809	55.68832397
0.28999998	0.000307467	199.9999809	56.08833313
0.29199998	-0.000972189	199.9999809	56.48832321
0.29399998	0.000194926	199.9999809	56.88833237
0.29599998	-0.001946315	199.9999809	57.28832245
0.297999979	0.000316929	199.9999809	57.6883316
0.299999979	-0.000120215	199.9999809	58.08832169
0.301999979	-0.000532921	199.9999809	58.48833084
0.303999979	0.000275224	199.9999809	58.88832092
0.305999979	-0.00052074	199.9999809	59.28833008
0.307999979	0.000497214	199.9999809	59.68832016
0.309999979	-0.000486653	199.9999809	60.08832932
0.311999978	0.001337007	199.9999809	60.4883194
0.313999978	0.002186578	199.9999809	60.88832855
