% 1-10788-38207-E-Lauf1	42213.47444				
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz
1.156799943	-0.732426405	-16.66216278	71.75880432	0.00100838	-0.022654682
1.157999943	-0.655539036	-16.65687561	71.55881882	0.001203702	-0.022430569
1.159199943	-0.706274509	-16.648283	71.35881424	0.000422401	-0.02303347
1.160399943	-0.77960825	-16.66761589	71.15880966	-0.001335521	-0.024661869
1.161599942	-0.711667895	-16.69190979	70.95880508	-0.0011402	-0.024641603
1.162799942	-0.52269572	-16.69627762	70.75881958	0.001008366	-0.022861809
1.163999942	-0.600517154	-16.66912079	70.558815	0.00218031	-0.021883398
1.165199942	-0.583002567	-16.63715744	70.35881042	0.001399009	-0.022485703
1.166399942	-0.755527616	-16.614048	70.15880585	-0.000358764	-0.023721159
1.167599942	-0.911109865	-16.61686516	69.95882034	-0.001140065	-0.023845434
1.168799942	-0.904158235	-16.64115524	69.75881577	3.18792E-05	-0.022239387
1.169999942	-0.811565399	-16.67457199	69.55881119	0.001203823	-0.021002889
1.171199942	-0.611775935	-16.6989193	69.35880661	0.000422522	-0.022062361
1.172399942	-0.511116743	-16.69250298	69.15880203	-0.001335251	-0.024163872
1.173599942	-0.586052954	-16.67437363	68.95881653	-0.00113993	-0.024124533
1.174799942	-0.670828998	-16.67198181	68.75881195	0.001008487	-0.022045076
1.175999942	-0.71001941	-16.66440201	68.55880737	0.001203846	-0.021872185
1.177199942	-0.630714595	-16.64909363	68.3588028	0.001399149	-0.021575373
1.178399942	-0.686276078	-16.63209724	68.15881729	-0.001335209	-0.023989473
1.179599942	-0.847167134	-16.65052414	67.95881271	-0.001140242	-0.023433715
1.180799942	-0.741121531	-16.69608688	67.75880814	0.001008324	-0.021386296
1.181999941	-0.585925817	-16.69648743	67.55880356	0.001203646	-0.021585375
1.183199941	-0.522977829	-16.67183685	67.35881805	0.001398968	-0.021590441
1.184399941	-0.624785781	-16.63808823	67.15881348	-0.001335279	-0.024150163
1.185599941	-0.883776844	-16.65076447	66.9588089	-0.001139957	-0.023656338
1.186799941	-0.743069351	-16.66109657	66.75880432	3.16883E-05	-0.022430271
1.187999941	-0.746313155	-16.64379883	66.55881882	0.00120393	-0.021111816
1.189199941	-0.787981331	-16.63799286	66.35881424	0.000422332	-0.021545738
1.190399941	-0.806358218	-16.66482544	66.15880966	-0.002311915	-0.024096817
1.191599941	-0.810113192	-16.70998192	65.95880508	-0.002116594	-0.024171919
1.192799941	-0.556765795	-16.71952057	65.75881958	0.001008296	-0.02170518
1.193999941	-0.505622387	-16.68839264	65.558815	0.002180538	-0.020991117
1.195199941	-0.53118968	-16.64506721	65.35881042	0.00139894	-0.02177462
1.196399941	-0.723668694	-16.63499832	65.15880585	-0.001335307	-0.024182945
1.197599941	-0.847924769	-16.64805794	64.95882034	-0.001139985	-0.023659021
1.198799941	-0.797620654	-16.66043663	64.75881577	3.22564E-05	-0.02234444
1.199999941	-0.743224084	-16.67505646	64.55881119	0.001203902	-0.021151751
1.201199941	-0.6426723	-16.69058418	64.35880661	0.001399224	-0.021163374
1.20239994	-0.529785335	-16.68541718	64.15882111	-0.001335023	-0.024161488
1.20359994	-0.660128295	-16.67887115	63.95881653	-0.000163377	-0.023111552
1.20479994	-0.564381897	-16.676754	63.75881195	0.001008864	-0.022119135
1.20599994	-0.702066243	-16.65332413	63.55880737	0.00218051	-0.020897239
1.20719994	-0.690270662	-16.63313293	63.3588028	0.001399508	-0.021391958
1.20839994	-0.760368109	-16.62620926	63.15881729	-0.001335335	-0.023622364
1.20959994	-0.922475576	-16.65697098	62.95881271	-0.002116337	-0.024038404
1.21079994	-0.806281388	-16.71511078	62.75880814	3.22284E-05	-0.02216205
1.21199994	-0.53036797	-16.72636414	62.55880356	0.001204172	-0.021717995
1.21319994	-0.43416658	-16.67893791	62.35881805	0.001399494	-0.021947473
1.21439994	-0.551570058	-16.63920975	62.15881348	-0.000358429	-0.02355203
1.21559994	-0.784830451	-16.63685226	61.9588089	-0.001139729	-0.023920089
1.21679994	-0.791261077	-16.65852356	61.75880432	0.001008837	-0.021578223
1.21799994	-0.692703247	-16.65336609	61.55881882	0.001204158	-0.021296889
1.21919994	-0.721956432	-16.64341164	61.35881424	0.000422858	-0.021846741
1.22039994	-0.770599425	-16.6557827	61.15880966	-0.001335065	-0.023364872
1.22159994	-0.738842905	-16.68767357	60.95880508	-0.001139743	-0.023276061
1.222799939	-0.606872022	-16.69456482	60.75881958	0.001008823	-0.021478981
1.223999939	-0.584350407	-16.67211151	60.558815	0.001204144	-0.021486729
1.225199939	-0.633355319	-16.6437149	60.35881042	0.001399466	-0.021123737
1.226399939	-0.727509677	-16.63473129	60.15880585	-0.000358308	-0.022535026
