%	3-10788-38173-A-andereRichtung				
Zeit	Drehmoment	Geschwindigkeit	Position	Lag_error	Position_difference
0.259999993	-11.91251564	76.9430542	52.04143524	0.0004056	0.074111372
0.260799993	-13.98378849	74.83964539	52.64846802	0.000994839	0.072785467
0.261599993	-15.659729	72.50514221	53.23642731	-0.000888156	0.070108324
0.262399993	-17.23620796	70.02764893	53.80390167	-0.001783799	0.069543868
0.263199993	-19.16367722	67.31667328	54.34944153	-0.005067931	0.067541152
0.263999993	-20.54200745	64.37333679	54.87163544	-0.011186544	0.06312862
0.264799993	-21.20149994	61.28294373	55.36907196	-0.014727097	0.061766058
0.265599993	-22.90156555	57.96411896	55.84032059	-0.021018973	0.058232099
0.266399993	-24.30278015	54.40866089	56.28398895	-0.026573716	0.055199116
0.267199993	-24.94987488	50.77790833	56.6992569	-0.033178777	0.050600618
0.267999993	-24.79039764	47.15916443	57.0860672	-0.038941242	0.046164244
0.268799993	-24.85212708	43.48403549	57.44443893	-0.040932763	0.044911951
0.269599993	-25.29379272	39.80400085	57.77433395	-0.043058647	0.042479485
0.270399993	-24.57772636	36.14079285	58.07579041	-0.047272108	0.036845952
0.271199993	-24.47959137	32.5818634	58.34897995	-0.046538366	0.03574051
0.271999993	-22.95653915	29.17614937	58.59500885	-0.047581289	0.032085143
0.272799993	-22.27430725	25.98042488	58.81528854	-0.046048313	0.03060542
0.273599993	-21.26460075	22.83729362	59.01124954	-0.046375976	0.026421472
0.274399993	-19.67677307	19.91411209	59.18432236	-0.043234951	0.024162754
0.275199993	-18.14401245	17.299366	59.33589935	-0.037155619	0.024609417
0.275999993	-16.43333817	14.85075855	59.46744919	-0.033550991	0.022580773
0.276799993	-14.7448864	12.59014702	59.58034515	-0.030021467	0.020467341
0.277599993	-13.02066994	10.56777382	59.67603683	-0.026120751	0.018900633
0.278399993	-11.72549438	8.77820015	59.75595474	-0.021402715	0.019054115
0.279199993	-10.54631329	7.149003983	59.82151031	-0.018350338	0.018387437
0.279999993	-9.490938187	5.699314117	59.87413406	-0.016517482	0.017345101
0.280799993	-8.476257324	4.375739098	59.91521835	-0.015457864	0.016103238
0.281599993	-7.344396591	3.205007792	59.94623184	-0.013748424	0.015811175
0.282399993	-6.058304787	2.180863619	59.96856689	-0.01191935	0.015648901
0.283199993	-4.697954655	1.351950049	59.98365402	-0.009524505	0.016060621
0.283999993	-3.323942423	0.702801943	59.99292374	-0.008070549	0.015640259
0.284799993	-2.058710575	0.255614758	59.99778748	-0.006134575	0.015902966
0.285599993	-0.86877954	-0.026632085	59.99967575	-0.005223242	0.015402138
0.286399993	0.228739008	-0.115313798	60	-0.003913939	0.015521497
0.287199993	0.98927635	-0.040045545	60	-0.002937317	0.015837699
0.287999993	0.837423027	0.081996053	60	-0.002937317	0.016153008
0.288799993	0.449195147	0.143621743	60	-0.003913939	0.016239136
0.289599993	0.119470961	0.145089149	60	-0.004890412	0.016465485
0.290399993	0.006884301	0.110815063	60	-0.005867034	0.016499162
0.291199993	-0.001976015	0.063345462	60	-0.006843656	0.016165078
0.291999993	0.081638731	0.023144336	60	-0.006843656	0.016446412
0.292799993	0.173738793	-0.00421592	60	-0.006843656	0.016463697
0.293599993	0.251245022	-0.011895714	60	-0.006843656	0.016362369
0.294399993	0.257230818	-0.007020596	60	-0.006843656	0.01627773
0.295199993	0.19412908	-0.000550546	60	-0.006843656	0.016256273
0.295999993	0.158517763	-0.002167138	60	-0.006843656	0.016252697
0.296799993	0.124860361	-0.005127335	60	-0.006843656	0.01622647
0.297599992	0.153457776	-0.007612714	60	-0.006843656	0.01617521
0.298399992	0.125814706	-0.00721857	60	-0.006843656	0.016121566
0.299199992	0.077643529	-0.009466363	60	-0.006843656	0.01606077
0.299999992	0.053671457	-0.011935157	60	-0.006843656	0.015972555
0.300799992	0.023506464	-0.014268751	60	-0.006843656	0.015868843
0.301599992	0.038934033	-0.015252791	60	-0.006843656	0.015746653
0.302399992	0.013206624	-0.01541674	60	-0.006843656	0.015625656
0.303199992	0.000488048	-0.01624655	60	-0.006843656	0.015498102
0.303999992	-0.000177395	-0.016475365	60	-0.006843656	0.015363395
0.304799992	0.00115616	-0.016610738	60	-0.006843656	0.015228689
