%	Kombinierte Traces		NCA 4	p=10						
Zeit	Drehmoment	Standardabweichung_Drehmoment	Geschwindigkeit	StandardabweichungGeschwindigkeit	Position	StandardabweichungPosition	lag_error	Standardabweichunglag_error	Positions_differenz	StandardabweichungPositions_differenz
0.063199998	0.016796235	0.030526346	0.00121025	0.006660915	0	0	0.000121104	0.000335005	-0.003057819	0.002599703
0.063999998	0.013048035	0.031020113	0.000838622	0.005442222	0	0	0.00010268	0.000313433	-0.003068517	0.002624753
0.064799998	0.014542464	0.031772659	0.001086533	0.005180708	0	0	8.42534E-05	0.000288806	-0.003079696	0.002630733
0.065599998	0.015737398	0.031386715	0.001653968	0.005700945	0	0	6.58266E-05	0.000261652	-0.003086118	0.002625256
0.066399998	0.01309546	0.028302497	0.001597179	0.005368353	0	0	0.000102677	0.000312969	-0.003035142	0.002571642
0.067199998	0.012173551	0.029803817	0.000730487	0.004583116	0	0	6.58322E-05	0.000260836	-0.003063384	0.002618155
0.067999998	0.016358726	0.036139012	0.000133516	0.005360856	0	0	0.000121104	0.000333507	-0.003005755	0.002558986
0.068799998	0.012564283	0.031773042	-2.69752E-05	0.005620441	0	0	6.5835E-05	0.000259189	-0.00306112	0.002688528
0.069599998	0.014351243	0.032041327	0.000158572	0.005293141	0	0	4.74054E-05	0.000227333	-0.003079325	0.002615856
0.070399998	0.014995723	0.031692819	0.000858996	0.005678185	0	0	0.000102689	0.000310676	-0.003019442	0.002625205
0.071199998	0.015620107	0.030616208	0.001549954	0.005225638	0	0	4.7411E-05	0.000226072	-0.003064058	0.002633945
0.071999998	0.013362279	0.031505419	0.001449926	0.00518378	0	0	0.000121116	0.000332005	-0.002977561	0.002685556
0.072799998	0.015095625	0.030474777	0.000856589	0.005743446	0	0	1.05545E-05	0.000134315	-0.003079648	0.002619906
0.073599998	0.011227669	0.029605435	0.000378621	0.005978715	0	0	2.89842E-05	0.000186488	-0.003056647	0.002645762
0.074399998	0.011200402	0.02453128	-9.07307E-05	0.005893616	0	0	1.05545E-05	0.000134315	-0.00307479	0.002592378
0.075199998	0.013720771	0.02991997	0.000139299	0.004577217	0	0	2.89814E-05	0.000187253	-0.003056892	0.002664601
0.075999998	0.015674569	0.033862165	0.000917712	0.004946634	0	0	1.05573E-05	0.000133248	-0.00307044	0.002628086
0.076799998	0.017325118	0.032189349	0.001674871	0.005376996	0	0	2.89842E-05	0.000186488	-0.00304025	0.002600016
0.077599998	0.012328589	0.028130986	0.001201531	0.004427181	0	0	4.74054E-05	0.00022796	-0.003008536	0.002621452
