%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference	MittelwertStatorCurrent	StandardabweichungStatorCurrent	minus3sigmaStatorCurrent	plus3sigmaStatorCurrent
0.0104	0.000405439	1.24205E-05	0.000368178	0.0004427	0.000301183	3.99618E-05	0.000181298	0.000421069	0.423472404	0.10999925	0.093474655	0.753470154	0.037598698	0.002575925	0.029870922	0.045326474	0.010353786	0.00522163	-0.005311105	0.026018677	0.000682799	2.91993E-05	0.000595201	0.000770397
0.0108	0.000413055	1.21421E-05	0.000376629	0.000449481	0.000329227	4.10543E-05	0.000206064	0.00045239	0.490206718	0.118516528	0.134657133	0.845756303	0.037959655	0.002320188	0.030999092	0.044920219	0.011509925	0.005393958	-0.00467195	0.0276918	0.000700923	2.88998E-05	0.000614223	0.000787622
0.0112	0.000420555	1.19977E-05	0.000384562	0.000456549	0.000357997	4.20535E-05	0.000231836	0.000484157	0.56291453	0.12724592	0.181176771	0.94465229	0.038272509	0.002126212	0.031893874	0.044651145	0.012634573	0.005293832	-0.003246924	0.02851607	0.000718443	2.85736E-05	0.000632723	0.000804164
0.0116	0.000427753	1.14676E-05	0.00039335	0.000462156	0.000387436	4.29443E-05	0.000258603	0.000516269	0.641748428	0.136163378	0.233258295	1.050238562	0.038851268	0.002008461	0.032825885	0.044876651	0.014044012	0.005131954	-0.00135185	0.029439874	0.000735363	2.67116E-05	0.000655228	0.000815497
0.012	0.000434864	1.02625E-05	0.000404077	0.000465652	0.000417492	4.37658E-05	0.000286195	0.00054879	0.726846059	0.145254041	0.291083938	1.162608181	0.039378575	0.001909935	0.03364877	0.045108381	0.015414966	0.005153764	-4.63256E-05	0.030876257	0.000752451	2.35179E-05	0.000681897	0.000823004
0.0124	0.000442068	9.36421E-06	0.000413976	0.000470161	0.000448116	4.45451E-05	0.000314481	0.000581752	0.818333626	0.15450068	0.354831586	1.281835666	0.039703682	0.002181836	0.033158175	0.046249189	0.016586584	0.0049772	0.001654983	0.031518185	0.000769642	2.26195E-05	0.000701784	0.000837501
0.0128	0.000448887	9.54307E-06	0.000420258	0.000477516	0.000479254	4.51917E-05	0.000343679	0.00061483	0.916323662	0.163883543	0.424673032	1.407974291	0.040460945	0.002359212	0.033383309	0.04753858	0.018193466	0.004965125	0.003298092	0.03308884	0.000785241	2.40468E-05	0.000713101	0.000857382
0.0132	0.000454582	9.46342E-06	0.000426191	0.000482972	0.000510886	4.56767E-05	0.000373856	0.000647916	1.020918528	0.17338994	0.50074871	1.541088347	0.040791449	0.00231517	0.03384594	0.047736958	0.019382872	0.005061137	0.00419946	0.034566283	0.000797167	2.35915E-05	0.000726393	0.000867942
0.0136	0.000458369	8.3426E-06	0.000433341	0.000483397	0.000543041	4.60837E-05	0.00040479	0.000681292	1.13220946	0.183001377	0.583205329	1.681213591	0.04124048	0.002632671	0.033342465	0.049138494	0.020703631	0.005001901	0.00569793	0.035709333	0.000804077	2.0195E-05	0.000743492	0.000864662
0.014	0.000461836	7.02336E-06	0.000440766	0.000482907	0.000575554	4.64416E-05	0.000436229	0.000714879	1.250268618	0.192701843	0.67216309	1.828374147	0.041641688	0.002266444	0.034842356	0.048441021	0.022026064	0.004879835	0.007386559	0.03666557	0.000812671	1.8526E-05	0.000757093	0.000868249
