%	1-10788-38173-A-16.06.2015_P10		Axiales Spiel		
Zeit	Drehmoment	Geschindigkeit	Position	lag_error	Positions_Differenz
0.533599987	-25.73279953	50.61408234	116.6992569	-0.040994734	0.035869926
0.534399986	-25.60910797	47.06370163	117.0860672	-0.046757795	0.030429512
0.535199986	-25.70711517	43.39051819	117.4444389	-0.049725641	0.027349144
0.535999986	-26.276371	39.72468567	117.774334	-0.051851524	0.024250001
0.536799986	-25.51927376	36.04743576	118.0757904	-0.055088429	0.018821741
0.537599986	-25.39334679	32.47662735	118.3489799	-0.054354658	0.016909875
0.538399986	-23.79035187	29.02266502	118.5950089	-0.053444486	0.014033988
0.539199986	-23.01387787	25.81141663	118.8152885	-0.052888095	0.010297373
0.539999986	-21.82165718	22.63201904	119.0112495	-0.050286041	0.007453188
0.540799986	-20.10301208	19.70044327	119.1843224	-0.044215373	0.006463528
0.541599986	-18.5302906	17.08395195	119.3358994	-0.040089209	0.003177822
0.542399986	-16.89301872	14.64240646	119.4674492	-0.033554717	0.0024876
0.543199986	-14.99209881	12.38659573	119.5803452	-0.029048719	-0.000332296
0.543999986	-13.22622681	10.36956978	119.6760368	-0.02417153	-0.002449304
0.544799986	-11.73830318	8.597913742	119.7559547	-0.018476723	-0.002825856
0.545599986	-10.56975555	7.005079269	119.8215103	-0.015424495	-0.004677624
0.546399986	-9.512690544	5.569181442	119.8741341	-0.013591639	-0.006791055
0.547199986	-8.568491936	4.274650574	119.9152184	-0.011555399	-0.007888973
0.547999986	-7.44587326	3.110335112	119.9462318	-0.009845959	-0.008969009
0.548799986	-6.187389851	2.107909918	119.9685669	-0.007040412	-0.008814037
0.549599986	-4.778720379	1.28914547	119.983654	-0.00562204	-0.009931922
0.550399986	-3.467604637	0.667695999	119.9929237	-0.003191611	-0.00977397
0.551199986	-2.18535614	0.224074647	119.9977875	-0.001255488	-0.009785891
0.551999986	-0.982393324	-0.030931648	119.9996758	0.000632319	-0.009476542
0.552799986	0.039255671	-0.1073962	120	0.000965148	-0.010282397
0.553599986	0.762825429	-0.037790496	120	0.002918243	-0.00897184
0.554399986	0.663711131	0.07798329	120	0.002918243	-0.008675009
0.555199986	0.290319145	0.149377972	120	0.001941621	-0.008601993
0.555999986	0.033118475	0.172801852	120	-1.14739E-05	-0.009195507
0.556799986	-0.173900262	0.155415893	120	-0.000988096	-0.008822083
0.557599986	-0.259247094	0.112317301	120	-0.002941191	-0.009733886
0.558399986	-0.219640791	0.06325309	120	-0.002941191	-0.009074658
0.559199986	-0.111732706	0.021136221	120	-0.002941191	-0.008800477
0.559999986	-0.020779448	-0.005691845	120	-0.002941191	-0.008780807
0.560799986	-0.001858257	-0.01360846	120	-0.002941191	-0.00889346
0.561599986	-0.003693888	-0.008496687	120	-0.003917664	-0.009961724
0.562399986	0.000961386	0.000130196	120	-0.002941191	-0.009016842
0.563199986	0.003639468	0.008110643	120	-0.003917664	-0.009946227
0.563999986	-0.002160979	0.007557027	120	-0.003917664	-0.009875298
0.564799986	-0.004850876	0.001915864	120	-0.002941191	-0.008859485
0.565599986	-0.005631394	-0.005440254	120	-0.002941191	-0.008882135
0.566399986	-0.00444915	-0.006347046	120	-0.002941191	-0.008937567
0.567199986	-0.000823892	-0.003488681	120	-0.002941191	-0.008974522
0.567999986	-0.004268743	-0.002341458	120	-0.002941191	-0.008993596
0.568799986	-0.039153203	-0.007075381	120	-0.002941191	-0.009032935
0.569599986	-0.018656898	-0.010984783	120	-0.003917664	-0.010091662
0.570399986	-0.060142767	-0.012225635	120	-0.002941191	-0.009207577
0.571199986	-0.06971664	-0.013988882	120	-0.003917664	-0.010293722
0.571999986	-0.098366439	-0.012413392	120	-0.002941191	-0.009422749
0.572799986	-0.085390516	-0.010694422	120	-0.002941191	-0.00951454
0.573599986	-0.06842383	-0.008202801	120	-0.002941191	-0.009587854
0.574399985	-0.092500493	-0.006910861	120	-0.002941191	-0.009642094
0.575199985	-0.106614523	-0.007323716	120	-0.002941191	-0.009698123
0.575999985	-0.138054699	-0.008942081	120	-0.002941191	-0.009760112
0.576799985	-0.13159354	-0.010226008	120	-0.002941191	-0.009840578
0.577599985	-0.137017488	-0.010445952	120	-0.002941191	-0.00992164
0.578399985	-0.144663796	-0.01176355	120	-0.002941191	-0.010009259
0.579199985	-0.135450467	-0.01265615	120	-0.002941191	-0.010108799
0.579999985	-0.16427353	-0.014034417	120	-0.002941191	-0.010214299
0.580799985	-0.172655195	-0.015210206	120	-0.002941191	-0.010333508
