Hertz	mg
21.74377441	0.744288965
21.93450928	0.806661547
22.12524414	3.163930127
22.315979	0.497954403
22.50671387	2.592871184
22.69744873	4.042655232
22.88818359	2.646864666
23.07891846	0.966680298
23.26965332	1.004303415
23.46038818	0.565357207
23.65112305	1.760320558
23.84185791	2.198610987
24.03259277	1.5745395
24.22332764	0.579751116
24.4140625	0.800563755
24.60479736	3.08833917
24.79553223	2.276651711
24.98626709	1.549751713
25.17700195	2.350414011
25.36773682	1.043477475
25.55847168	0.946095958
25.74920654	0.4488214
25.93994141	0.676643292
26.13067627	1.931303487
26.32141113	1.740469543
26.512146	3.413983994
26.70288086	3.411493974
26.89361572	2.081463475
27.08435059	1.995289805
27.27508545	0.582860659
27.46582031	1.266999797
27.65655518	0.897661889
27.84729004	1.397485292
28.0380249	1.786061797
28.22875977	1.643457633
28.41949463	3.524609972
28.61022949	3.687226824
28.80096436	1.314416825
28.99169922	0.46876371
29.18243408	0.551985679
29.37316895	1.812798766
29.56390381	1.06485061
29.75463867	0.502032272
29.94537354	0.515212105
30.1361084	0.200893952
30.32684326	1.717159716
30.51757813	1.587759696
30.70831299	0.535137633
30.89904785	0.494995117
31.08978271	0.230419152
31.28051758	1.083069781
31.47125244	0.682002886
31.6619873	0.60947365
31.85272217	0.499320253
32.04345703	1.39345807
32.23419189	1.26255649
32.42492676	0.998039814
32.61566162	1.072705841
32.80639648	2.017492637
32.99713135	1.185137262
33.18786621	0.848583639
33.37860107	0.819390213
33.56933594	1.188947827
33.7600708	2.639916246
33.95080566	1.180066412
34.14154053	0.698987821
34.33227539	0.108060801
34.52301025	1.798451297
34.71374512	2.952514362
34.90447998	2.163923631
35.09521484	0.994341992
35.28594971	1.639282181
35.47668457	2.339600489
35.66741943	2.340186243
35.8581543	1.308485422
36.04888916	1.224053076
36.23962402	1.133015276
36.43035889	1.948192079
36.62109375	2.173152048
36.81182861	1.414351849
37.00256348	0.955466686
37.19329834	1.933254231
37.3840332	2.376108024
37.57476807	0.907438445
37.76550293	2.160690719
37.95623779	3.569206025
38.14697266	2.569612413
38.33770752	1.830256709
38.52844238	1.569482263
38.71917725	1.026258831
38.90991211	0.490465943
39.10064697	0.72419739
39.29138184	0.975150833
39.4821167	0.975888503
39.67285156	0.630599335
39.86358643	2.487486208
40.05432129	2.455764736
40.24505615	1.579407006
40.43579102	0.952287415
40.62652588	0.930556847
40.81726074	0.658796771
41.00799561	0.770796613
41.19873047	1.739406047
41.38946533	1.325786443
41.5802002	0.693574176
41.77093506	0.737199525
41.96166992	0.778845758
42.15240479	0.700224589
42.34313965	0.678514509
42.53387451	0.453435912
42.72460938	0.329820744
42.91534424	0.735337846
43.1060791	1.860082325
43.29681396	1.216020099
43.48754883	0.230200617
43.67828369	1.46453485
43.86901855	1.615275937
44.05975342	1.569482263
44.25048828	2.233434674
44.44122314	1.580925014
44.63195801	0.459096879
44.82269287	0.579884079
45.01342773	0.736443773
45.2041626	1.046723534
45.39489746	0.435501137
45.58563232	0.684510559
45.77636719	0.501178331
45.96710205	0.228191564
46.15783691	0.317614257
46.34857178	0.675376028
46.53930664	0.669771561
46.7300415	0.834391934
46.92077637	0.487179923
47.11151123	0.862641248
47.30224609	1.361717737
47.49298096	2.164303714
47.68371582	1.938705886
47.87445068	0.810539174
48.06518555	0.358705501
48.25592041	0.345778953
48.44665527	0.795518393
48.63739014	1.49225662
48.828125	1.323017977
49.01885986	1.640828299
49.20959473	2.461061433
49.40032959	2.597519057
49.59106445	1.476326827
49.78179932	2.031608834
49.97253418	2.229933756
50.16326904	2.063008862
50.35400391	1.098213943
50.54473877	1.780412166
50.73547363	2.347729866
50.9262085	1.678407189
51.11694336	1.760281618
51.30767822	1.748052843
51.49841309	1.264129703
51.68914795	1.559274625
51.87988281	1.044905021
52.07061768	0.495323832
52.26135254	1.368795789
52.4520874	0.83130606
52.64282227	0.755235156
52.83355713	0.730006006
53.02429199	1.108122941
53.21502686	1.776982907
53.40576172	1.071619143
53.59649658	0.360907881
53.78723145	0.615599459
53.97796631	1.873811674
54.16870117	2.118343393
54.35943604	0.966396664
54.5501709	0.933296258
54.74090576	0.563976591
54.93164063	1.576062196
55.12237549	1.67620077
55.31311035	0.652630141
55.50384521	0.241430681
55.69458008	0.38941189
